hood.name,total,crowded,pct.crowded
Acton,2476.6776213067774,77.7062187660356,0.031375185085669416
Adams-Normandie,2382.418931680345,438.1216932798851,0.18389783906345694
Agoura Hills,6794.424713612619,152.2942546966566,0.022414591538785514
Agua Dulce,2800.6189973913115,51.55852566072359,0.01840968932537726
Alhambra,29428.312080815685,3505.8457829162903,0.11913173182643223
Alsace,3416.4737439311925,507.2497684380076,0.14847173034449743
Altadena,14945.6332642498,706.2766745404894,0.047256390013925655
Anaverde,820.05951484814,75.18590203956141,0.09168347013629183
Angeles National Forest,497.33899738984854,2.0210483594673576,0.004063723878630657
Angelino Heights,913.6760869983701,64.23417404804121,0.07030300449152041
Arcadia,21885.51234397187,895.8702921285322,0.04093439888672701
Arleta,7541.065639887561,1542.261274676109,0.20451503120706221
Artesia,4565.748037295999,579.9650243878644,0.12702519272862475
Athens Village,1171.891315467529,205.25244155391178,0.17514631164582511
Athens-Westmont,13526.239143111148,1885.7676368425132,0.139415518008413
Atwater Village,5589.87401256577,591.0061716868913,0.10572799500638792
Avalon,1372.6032019765587,162.32708639629067,0.11826220874506083
Avocado Heights,1156.9412069432112,240.39801420019717,0.20778758052482194
Azusa,15670.383693174943,2187.3747757675346,0.13958654865102127
Baldwin Hills,12670.932434081726,1144.0756546987095,0.09029135469315773
Baldwin Park,17740.02155655804,3498.9964738991753,0.19723744205968477
Bandini Islands,60.555276842076715,22.074594855862127,0.3645362717675438
Bassett,2512.087347989859,454.3999353957675,0.18088540422743365
Bel Air,2945.8339395682424,42.01887397760904,0.014263829815121065
Bell,9162.611428840422,2372.2064608589244,0.25890069433612767
Bell Gardens,9631.878846374077,2916.160141914181,0.3027612980215143
Bellflower,23513.393619072154,3507.214001207515,0.14915813761407662
Beverly Crest,4470.458702413934,29.19190352062711,0.006529957094752766
Beverly Hills,15129.773978572153,446.0957771237478,0.02948462929819969
Beverlywood,5035.347454926699,176.42242947889457,0.035036793599273634
Bouquet Canyon,440.28295665144617,22.945048736708788,0.052114324186465014
Boyle Heights,21160.836578861523,6074.177250149919,0.2870480676656082
Bradbury,409.365009618042,0.5089865927654287,0.0012433563709813367
Brentwood,14119.638199593002,226.16525531119777,0.016017779784025694
Brookside,387.29138441876864,10.887855750441,0.028112827159274552
Burbank,41470.95461373344,2202.571017351772,0.053111172334151496
Cadillac-Corning,2201.8137626706475,338.59117564113757,0.1537782992283825
Calabasas,5264.064563169014,34.27242034791888,0.006510638297963158
Canoga Park,20825.629516720102,3802.245313145448,0.18257528830486353
Canyon Country,1884.9922945613566,70.49570627501056,0.037398405541713434
Carson,25309.47715737208,2584.9805017821627,0.1021348835342976
Carthay,7637.09328024582,150.12335158411938,0.01965713211496708
Castaic,6607.794918361875,116.99344248221394,0.01770536826999733
Central,8386.353496490965,2983.7264190800956,0.35578352621655557
Century City,5848.563572771448,128.65308204310938,0.021997381141938204
Century Palms/Cove,8269.767920431717,1689.47438774341,0.2042952600361743
Cerritos,15519.944229916775,844.5449703829617,0.0544167529130026
Charter Oak,9.333004791901377,0.47804551048452554,0.05122096486003573
Chatsworth,13219.601005759883,466.0262914728605,0.03525267451489718
Cheviot Hills,3711.462696104833,47.044885360797345,0.012675564652763663
Chinatown,3946.120801899515,743.1116470165089,0.18831446991151482
Claremont,12023.915495735799,212.34351776444757,0.017660097315201007
Cloverdale/Cochran,4801.461076502306,689.4857235890637,0.14359914880145808
Commerce,3400.044976726074,508.5188181267979,0.14956237979429735
Compton,24490.00193387935,5054.281235428476,0.20638141430427606
Country Club Park,5294.8248499296715,616.990676249877,0.11652711727717908
Covina,20335.670237704326,1670.7899774456657,0.08216055620079132
Covina (Charter Oak),3538.209004686057,239.83843700487645,0.06778526556436627
Crenshaw District,5337.761383325388,453.9993980801996,0.08505427003508373
Crestview,4588.533813964588,216.05462439565642,0.04708576489904533
Cudahy,5776.185417778223,1650.0481713904892,0.28566398964823586
Culver City,14987.311994356682,768.5584387035477,0.05128060582130675
Del Aire,1725.4330113790074,144.75066416511092,0.08389236974747731
Del Rey,12615.022668031675,1042.639862343053,0.0826506530967444
Del Sur,1170.6032355288446,42.68431146769479,0.036463517417505906
Desert View Highlands,582.9246731076064,28.649155063886354,0.049147267881381636
Diamond Bar,14526.098278292417,466.35680040771547,0.032104753215433775
Downey,33196.88921810848,3904.86185459058,0.11762734239750776
Downtown,18343.42615454394,2539.096798479344,0.13841998638026365
Duarte,7929.039760378832,631.8737953812192,0.07969108674907562
Eagle Rock,12672.327797191216,1096.1112859533464,0.08649644354972386
East Covina,198.33451876961215,4.07236504547238,0.020532810277987416
East Hollywood,10006.879416307975,2662.142536943033,0.2660312397294008
East La Mirada,1661.084810981518,181.8838410673123,0.10949702258720852
East Lancaster,15.747247642378813,0.9696188881431779,0.0615738642182619
East Los Angeles,31100.17066721434,5744.532621538306,0.18471064622144232
East Pasadena,2904.551110826881,82.59859839658166,0.02843764672919359
East Rancho Dominguez,2692.8032567746673,762.4698883896435,0.2831509827059923
East Whittier,1700.6404391754386,88.1314844939873,0.05182252665749743
Echo Park,5475.505210754415,504.34947689041417,0.0921101263678507
El Camino Village,2815.112509591216,363.21988918676726,0.12902499916051688
El Monte,28018.915160510598,5918.691047021712,0.2112391223256002
El Segundo,6575.258857752747,204.35440831119698,0.031079294782477968
El Sereno,11656.644853422558,1866.5940275811154,0.1601313286158029
Elizabeth Lake,647.3323935451097,21.928252663297034,0.033874795826618793
Elysian Park,2119.3414785134455,316.61563006640705,0.1493934003917521
Elysian Valley,3221.9515517361156,395.0045969644772,0.1225979319123011
Encino,18925.453613031816,544.8692770662066,0.028790288899126666
Exposition,1149.6868759273314,179.05658099405363,0.15574378097482197
Exposition Park,11557.08779789122,1996.414536443664,0.1727437371210369
Faircrest Heights,1341.0697072673372,116.91054278444263,0.08717708121427051
Figueroa Park Square,2599.6345582986833,429.8743670767253,0.16535953705664472
Florence-Firestone,25292.705460607776,7707.5285382985385,0.30473325798628614
Franklin Canyon,92.86016204210925,0,0
Gardena,20596.19097399417,1999.4632412924382,0.09707927275567921
Glassell Park,10215.32604936242,1382.7384388696596,0.13535920754638683
Glendale,73832.52574614128,5178.392013660592,0.07013700210481057
Glendora,17467.463460254203,717.8058580696816,0.04109388061426266
Gramercy Place,4066.5249546332484,208.1475423693208,0.051185605570221615
Granada Hills,17674.4666197794,934.6942355875028,0.05288387229414276
Green Meadows,5178.654641494132,1170.4446497127874,0.22601326613567993
Hacienda Heights,15876.288533883207,736.2271277316804,0.046372748023596505
Hancock Park,6262.824087208964,273.6535061137386,0.04369490541377998
Harbor City,10089.79818467016,1181.1966190095586,0.11706840884133823
Harbor Gateway,12442.508687537003,2387.163362793446,0.1918554708492621
Harbor Pines,766.3975069768074,63.2278609151479,0.08250008688645341
Harvard Heights,5176.541285762905,1597.1124498473748,0.3085288731763677
Harvard Park,11147.642185225483,1806.014762109583,0.16200867700105975
Hawaiian Gardens,3962.8382445162656,727.5295019520996,0.18358798847236507
Hawthorne,29885.27551897133,5158.040850515418,0.17259472301806508
Hermosa Beach,8856.318410092077,127.22959457563185,0.01436596886925942
Hi Vista,256.43261350354146,6.017658143157965,0.023466820623714694
Hidden Hills,837.001885627138,21.427753566515186,0.025600603695725338
Highland Park,15375.859299332407,2432.7436357020065,0.1582183856096831
Historic Filipinotown,5069.741648110152,1316.2656671162526,0.2596317048240352
Hollywood,33351.71946672517,3077.3587033531535,0.092269866518379
Hollywood Hills,14369.914700618858,325.9712968777805,0.022684288923701276
Huntington Park,14989.467997883656,5088.423630953137,0.33946659292188125
Hyde Park,10265.520074700426,996.6807453873809,0.09709013650888668
Industry,5936.169716599474,810.0580255784766,0.13646139922739897
Inglewood,37119.29133080492,4266.42041653774,0.11493808916004496
Irwindale,531.2324819462787,47.85955098361267,0.09009153734024214
Jefferson Park,2339.7606952432343,309.0422048845191,0.1320828260397767
Kagel/Lopez Canyons,1436.8191668026047,64.56010360406658,0.0449326575645104
