hood.name,total,pct.below.poverty
Acton,6904.123756617323,0.09157682125538921
Adams-Normandie,8088.895721894832,0.27588242425418436
Agoura Hills,18769.866395439534,0.05261323213536432
Agua Dulce,9124.26119397804,0.06272619750995699
Alhambra,84227.31060542104,0.1400381599433226
Alsace,9964.563504899426,0.3111655561737861
Altadena,43468.3546546297,0.08344608758327873
Anaverde,2523.4628566639612,0.1540815372120283
Angeles National Forest,1409.33889317251,0.18166568717377557
Angelino Heights,2126.4639394773353,0.08514803930671164
Arcadia,66528.12885353371,0.09352241723826885
Arleta,34043.532173401334,0.10464524363674788
Artesia,16300.182633588694,0.10097529133874214
Athens Village,4493.966290758339,0.3220295879746956
Athens-Westmont,42583.725698114176,0.2691517696441034
Atwater Village,15182.850634350445,0.12989734309135284
Avalon,3426.001250326728,0.16554910842253864
Avocado Heights,5229.073991964307,0.15048561316111506
Azusa,58168.861373905886,0.133798866441622
Baldwin Hills,27553.074951569546,0.2566948507531921
Baldwin Park,75421.6013232689,0.13731260627257832
Bandini Islands,238.77853223465513,0.2378301890462917
Bassett,11638.03545666326,0.12151537300496269
Bel Air,7544.938142899301,0.03430476502797023
Bell,36609.94757020225,0.2272754834307371
Bell Gardens,42083.2588093799,0.298876873057935
Bellflower,77027.7563942904,0.13833040815027073
Beverly Crest,11316.971025613031,0.05673106775385592
Beverly Hills,34539.46187549962,0.09480100276590182
Beverlywood,11599.148389058808,0.08000326089717663
Bouquet Canyon,1003.6941921625311,0.10048613024745885
Boyle Heights,82987.16190176998,0.2777089956931362
Bradbury,1069.9894635799933,0.0877973008396203
Brentwood,30051.51603611198,0.07733805681631536
Brookside,880.2787095484452,0.08355593808495913
Burbank,103740.86227673813,0.10833001289345716
Cadillac-Corning,6235.850854041745,0.16043115536311334
Calabasas,14454.799312115074,0.0601726799941671
Canoga Park,64115.774230812596,0.18310987348982427
Canyon Country,6381.511317727879,0.06571723150463106
Carson,91846.87993073548,0.10484305976498522
Carthay,13952.887850086752,0.09232226391577275
Castaic,21326.872491590027,0.06352006945230651
Central,37822.40294969111,0.3059679063165629
Century City,12972.836594901726,0.07128149438506658
Century Palms/Cove,32752.322818479814,0.2958457514748272
Cerritos,50379.23909112025,0.04978527935438624
Charter Oak,32.47374270101512,0.11605614515576858
Chatsworth,37550.18446745181,0.07094728878416572
Cheviot Hills,9067.057132338732,0.04959540383857561
Chinatown,9269.898910687753,0.3440247613939043
Claremont,31989.77864537504,0.08621968845105461
Cloverdale/Cochran,13669.145436182354,0.1942428080423296
Commerce,12695.953233663378,0.1875084340406529
Compton,99457.57804450275,0.22070071036386285
Country Club Park,13966.833700736985,0.1982877450278686
