hood.name,gte65,total,pct.gte65
Acton,1128.3276410109675,7030.975371154318,0.16047953256103115
Adams-Normandie,696.1714250093232,8103.938115974481,0.08590532344231878
Agoura Hills,2785.2269831611607,18859.53789452971,0.14768267381402955
Agua Dulce,1190.5713036615716,9145.375826887905,0.130182873421257
Alhambra,14323.22401433,85018.16354252477,0.16847251713647926
Alsace,851.028534015636,9964.59298844677,0.08540524786133688
Altadena,7530.3098746495925,43794.87777613581,0.17194499121887996
Anaverde,325.17652439759013,2538.3184271438195,0.1281070652603216
Angeles National Forest,272.29465495189453,1710.727420370908,0.15916893112805633
Angelino Heights,187.66692621973576,2126.4639394773353,0.08825304898697812
Arcadia,11920.96031630705,66936.24288820272,0.17809425509910234
Arleta,3899.3675734517396,34224.56462806836,0.11393476048059872
Artesia,2475.394978287948,16708.531011901458,0.14815156260743262
Athens Village,724.1238543279726,4675.70590376827,0.15486941848596225
Athens-Westmont,4896.595434666382,42697.88716861745,0.11468004061487459
Atwater Village,2352.596285912872,15263.199952433384,0.15413519401203954
Avalon,471.0974724168759,3444.3253821578087,0.13677496175513526
Avocado Heights,658.302995428961,5242.130050056701,0.12557929489403655
Azusa,6047.038270911364,61654.67198737358,0.09807915728024233
Baldwin Hills,3700.120902710245,27553.190674668953,0.13429010623121604
Baldwin Park,8960.289368997284,75894.42221561189,0.11806255463071573
Bandini Islands,11.541999469076474,238.77853223465513,0.04833767659537244
Bassett,1534.0701203715685,11700.328444204706,0.131113423669009
Bel Air,2037.404484937527,7792.749986872527,0.26144871686756127
Bell,3067.5646187288758,36750.89330702218,0.08346911714776578
Bell Gardens,3146.736937291557,42489.84364886533,0.07405856710832093
Bellflower,8569.281855779673,77533.65531394875,0.11052338266628853
Beverly Crest,2793.0888215856653,11356.220840754142,0.2459523164222106
Beverly Hills,7462.920539811835,34592.444843144345,0.21573845311170203
Beverlywood,1604.0443558493653,11600.651253403765,0.1382719229128382
Bouquet Canyon,210.61413106949652,1021.7169855638826,0.20613744710650886
Boyle Heights,7947.836010197103,83963.9860094694,0.09465767870168469
Bradbury,379.098393644238,1117.3856222693057,0.33927266119133037
Brentwood,6002.797907384028,30647.51270380139,0.19586574497575673
Brookside,177.83146577726862,880.2801838582817,0.202016890801552
Burbank,15612.689302638688,104217.66148470297,0.14980847852674484
Cadillac-Corning,523.7023180934845,6247.8549088525815,0.08382113953245793
Calabasas,2865.386484134773,14512.09879145655,0.19744811038784144
Canoga Park,6236.673773063578,64567.20351295202,0.09659197601476602
Canyon Country,704.0665047782886,6466.608474131905,0.10887724339500923
Carson,14872.148170049057,92297.94685358483,0.1611319501358055
Carthay,2399.7465444308114,14145.788863810241,0.16964388253879445
Castaic,2025.6031937520627,26803.44225132223,0.07557250202265116
Central,2228.440271199516,38249.542234375236,0.05826057361797116
Century City,2866.4019835715076,12972.850153652831,0.22095391140892814
Century Palms/Cove,2388.2826414422775,32969.7765928474,0.07243854488114432
Cerritos,11479.496875476329,50589.72027262033,0.22691362619945438
Charter Oak,5.819926156789256,32.47374270101512,0.17921944539541254
Chatsworth,7073.798719428603,38075.43168779302,0.185783808767596
Cheviot Hills,1725.4644416881938,9109.53296071741,0.18941305214315915
Chinatown,1971.1399136665586,9274.813261392797,0.21252610247923773
Claremont,7095.130853827286,36569.734616168775,0.1940164709505515
Cloverdale/Cochran,1328.207305919786,13678.522710446696,0.09710166324506626
Commerce,1717.31883012918,12875.29676796621,0.13338091238423927
Compton,8920.125857325556,99932.67469128677,0.08926135405543499
Country Club Park,2224.475575093141,14193.607136006744,0.15672376681823386
Covina,9181.157804287961,66884.27007063507,0.1372693130177235
Covina (Charter Oak),1534.2262518565688,11906.178941644166,0.12885966684830474
Crenshaw District,2072.975934646454,13573.202102761044,0.15272563680642254
Crestview,1447.7384759603246,11085.39107454554,0.1305987733066672
Cudahy,1712.2801700420582,24696.484502647032,0.06933295181581539
Culver City,5834.456376794773,36285.09401370749,0.16079485351727846
Del Aire,567.9457812387993,5122.134621890522,0.11088068220846116
Del Rey,4449.203462065466,29360.56893836346,0.1515366909750851
Del Sur,473.4325067895492,3584.531203222152,0.13207654779625813
Desert View Highlands,232.85077180108925,1941.0480697712537,0.11996136284689228
Diamond Bar,7333.445457418889,45855.96422555952,0.15992348173831056
Downey,12969.592457571363,112958.05763546859,0.11481777156106958
Downtown,3910.572805318997,29522.478337053075,0.13246085781392258
Duarte,4417.1873635790425,25439.93339257166,0.17363203336329647
Eagle Rock,6253.2109404474895,39489.73578838923,0.1583502856022161
East Covina,140.08636176848802,611.9110386532881,0.228932561956709
East Hollywood,3438.4159546650717,27574.46547541725,0.12469565213260193
East La Mirada,820.6921646171027,5292.141651869194,0.1550775127735352
East Lancaster,8.551378609218654,41.402098874849514,0.20654456758503492
East Los Angeles,12629.372725541314,118411.16379909765,0.1066569428113125
East Pasadena,1728.0110909905354,8730.685182121088,0.19792388053679902
East Rancho Dominguez,893.0586208378332,12533.39675000476,0.07125431665900898
East Whittier,676.4889371130624,4941.952379564578,0.1368869801154713
Echo Park,1548.2261295486887,13545.732077050117,0.11429623151721521
El Camino Village,1220.5216656263551,8741.584788831802,0.13962247065151007
El Monte,13565.946207586305,110008.98793579882,0.12331670768122494
El Segundo,1930.87420307466,16679.281483003353,0.11576483105955578
El Sereno,5575.520961103379,40628.89599225659,0.13723043230527382
Elizabeth Lake,250.3977504571244,1728.8057985139715,0.14483856467415754
Elysian Park,784.1723583242976,5472.835378947234,0.1432844776111542
Elysian Valley,1368.453037679543,10232.319419413838,0.13373830327102273
