hood.name,total,pct.asian,pct.black,pct.latino,pct.other,pct.white,top.group,is.majority
Acton,7030.975324581955,0.02674637141643553,0.019411683339376828,0.18582587916452423,0.023491310334362706,0.7445247557453006,white,TRUE
Adams-Normandie,8103.938052184382,0.05577406241574166,0.23103967022181612,0.6436958556615024,0.01345938564803452,0.05603102605290525,latino,TRUE
Agoura Hills,18859.537872653007,0.07739197654714995,0.025417663494691472,0.10852598889815486,0.04080783138774023,0.7478565396722636,white,TRUE
Agua Dulce,9145.375978043588,0.04457199943219496,0.016502176005857735,0.1907711639273761,0.05768673230015606,0.6904679283344151,white,TRUE
Alhambra,85018.16331384717,0.5084384329069621,0.01954432075865336,0.3591115771929298,0.02261029152849384,0.090295377612961,asian,TRUE
Alsace,9964.592815738175,0.01752997869042745,0.17981014670201903,0.7183122756691679,0.022602542236856184,0.06174505670152922,latino,TRUE
Altadena,43794.87952725706,0.06740630454357903,0.2123296681136296,0.28509033581158794,0.045541424333714914,0.3896322671974885,white,FALSE
Anaverde,2538.317964967696,0.08288243483551089,0.056112894052516814,0.49637442788871855,0.05766193943334898,0.3069683037899047,latino,FALSE
Angeles National Forest,1710.7296319787179,0.030580874913598444,0.0719014963571918,0.2187889266790197,0.0681246363747335,0.6106040656754566,white,TRUE
Angelino Heights,2126.4638890406995,0.17737999048750486,0.003353465858534684,0.42788603462726704,0.06362597228026459,0.32775453674642874,latino,FALSE
Arcadia,66936.24341245723,0.5862508082379115,0.013116075293867489,0.14901905708220606,0.03300339103288932,0.21861066835312562,asian,TRUE
Arleta,34224.56483315293,0.10145982946130816,0.008517576004975729,0.8040770143458633,0.01113217614417585,0.07481340404367692,latino,TRUE
Artesia,16708.530751029262,0.36676858027698983,0.028978218297390692,0.39652567552012047,0.039857868842047874,0.16786965706345114,latino,FALSE
Athens Village,4675.705827868994,0.009153555637020892,0.24555710995768187,0.6992708752155412,0.010107601665134771,0.035910857524621205,latino,TRUE
Athens-Westmont,42697.8867137268,0.004248666110801921,0.46186979109144083,0.5051108448012375,0.013213122589819267,0.015557575406700564,latino,TRUE
Atwater Village,15263.199087722533,0.18506899344022779,0.010122899148851294,0.47446034308345925,0.05071838666857203,0.2796293776588897,latino,FALSE
Avalon,3444.3253712405412,7.41896691422176e-6,2.7214233857534914e-4,0.5913602421945703,0.014061023956741239,0.39429917254319896,latino,TRUE
Avocado Heights,5242.129874048973,0.12938739694760562,0.006320057975887303,0.833014846803474,0.0029195846604529634,0.028358113612580123,latino,TRUE
Azusa,61654.6730740249,0.10259535032832172,0.025290603835050312,0.7011772024783478,0.019025753590026888,0.15191108976825332,latino,TRUE
Baldwin Hills,27553.18969996352,0.04190618072606459,0.5691542930255569,0.29643853798787634,0.03516722952410359,0.05733375873639867,black,TRUE
Baldwin Park,75894.42255301485,0.18950943584388757,0.018392583556476744,0.7405296190336519,0.011924266739513217,0.039644094826470556,latino,TRUE
Bandini Islands,238.7785482381578,1.2922631665659523e-4,0.003904305688649314,0.9742435847363015,0.003544331566450169,0.01817855169194244,latino,TRUE
Bassett,11700.328003209932,0.11294625846708133,0.017897348176107938,0.8242910785347545,0.015963013757177864,0.028902301064878476,latino,TRUE
Bel Air,7792.750695532507,0.10963316748136202,0.024703360309826863,0.06193723481247288,0.06270394969213247,0.7410222877042059,white,TRUE
Bell,36750.89347703987,0.0069414073422846756,0.009441714374261218,0.9260621256407747,0.006618845507804108,0.05093590713487526,latino,TRUE
Bell Gardens,42489.84371988608,0.008384399838673427,0.006456028463948388,0.9562336123610943,0.0020917396652942407,0.026834219670989704,latino,TRUE
Bellflower,77533.65570002349,0.12570287488537646,0.1215461526780011,0.5570020711872462,0.03207500077031253,0.1636739004790637,latino,TRUE
Beverly Crest,11356.22080789051,0.07222107354057095,0.011604207047724824,0.044569835843057626,0.013982064655044963,0.8576228189136017,white,TRUE
Beverly Hills,34592.4451545486,0.09534971395472319,0.016419448491013063,0.0623036426137916,0.05020310389237059,0.7757240910481015,white,TRUE
Beverlywood,11600.651545031495,0.11162970421812349,0.03522360022274053,0.08819149844236937,0.0240069009883292,0.7409482961284374,white,TRUE
Bouquet Canyon,1021.7169635619811,0.024494793552289954,1.0542170875987461e-4,0.19653380646364071,0.06351465541930798,0.7153513228560014,white,TRUE
Boyle Heights,83963.98518386332,0.01440826811736109,0.012973057090315716,0.9500670331696484,0.0038789595636967975,0.01867268205897803,latino,TRUE
Bradbury,1117.3861086273441,0.33809383576017277,0.00858097766991635,0.12995863076539674,0.008335749070516516,0.5150308067339976,white,TRUE
Brentwood,30647.514354339357,0.07634119798334041,0.01465423111272008,0.06524502481796786,0.04640656064942758,0.7973529854365441,white,TRUE
Brookside,880.2802237828238,0.1967974280722125,0.16519043125199007,0.08226520940904389,0.037693581729686704,0.5180533495370668,white,TRUE
Burbank,104217.66267352454,0.1226067482745411,0.025642027568147607,0.23709055504095045,0.047622037741039125,0.5670386313753217,white,TRUE
Cadillac-Corning,6247.8550515342295,0.043678232409402266,0.19200133149518436,0.4837719822029132,0.06578938326556179,0.21475907062693847,latino,FALSE
Calabasas,14512.098518295588,0.08534278152092954,0.006285107287842036,0.08015320757923158,0.05531012663110069,0.7729087769808962,white,TRUE
Canoga Park,64567.20410305173,0.14059219448159313,0.040339805917255465,0.5582017219210964,0.023218634398108916,0.23764764328194604,latino,TRUE
Canyon Country,6466.608668991693,0.100550251656334,0.05372477079816585,0.30503890836999575,0.03670663736185645,0.503979431813648,white,TRUE
Carson,92297.94732111685,0.24224325090579435,0.2417696051864595,0.3922786953096973,0.054066792348011046,0.06964165625003774,latino,FALSE
Carthay,14145.78922232642,0.07729660874509967,0.031814925486835385,0.0845089449486186,0.06043660400612393,0.7459429168133225,white,TRUE
Castaic,26803.44277061388,0.08529420284758966,0.06741995445010607,0.33238585430895523,0.04708964392748034,0.46781034446586867,white,FALSE
Central,38249.54266483033,0.009166842467707666,0.04227888961722823,0.9381201927194083,0.0035453426977272067,0.0068887324979286175,latino,TRUE
Century City,12972.850066241523,0.18353717926448634,0.03820614811010069,0.059882613259732896,0.04207112697858074,0.6763029323870994,white,TRUE
Century Palms/Cove,32969.77601088294,0.0031480986993460266,0.29496418726083146,0.6802620775995831,0.016609038791966957,0.0050165976482724325,latino,TRUE
Cerritos,50589.72061530898,0.594253578221018,0.07273353830631188,0.13812571412134977,0.04563250993156546,0.149254659419755,asian,TRUE
Charter Oak,32.47374270058835,0.39917836357411846,0.03166723724751797,0.35689832249229714,0.05032523108524478,0.16193084560082163,asian,FALSE
Chatsworth,38075.432578109416,0.17176068756293303,0.043441525601243154,0.25442970526190223,0.04275312691539304,0.48761495465852855,white,FALSE
Cheviot Hills,9109.533416454908,0.0981375937337113,0.023386161778091073,0.0934249512310586,0.03540854487362306,0.749642748383516,white,TRUE
Chinatown,9274.812991571009,0.641003562786499,0.07578202606543409,0.1622054704090567,0.015895992188463482,0.10511294855054673,asian,TRUE
Claremont,36569.735755590926,0.13885495213148985,0.050915581043992506,0.26155638918175805,0.05014749579098411,0.4985255818517755,white,FALSE
Cloverdale/Cochran,13678.522719581306,0.02952753644895101,0.2475758245817913,0.5996340546915784,0.029037500747512063,0.09422508353016733,latino,TRUE
Commerce,12875.29553155157,0.00611698111948098,0.025654476245533585,0.9351471103054546,0.01412938362024204,0.018952048709288787,latino,TRUE
