community_name,community_parent,community_type,tot_pop_univ,white,black,asn,hisp,oth
Acton,Acton,Unincorporated neighborhood,7449.4641386030935,5406.691609320231,134.69509346866394,108.45741584454781,1526.2881134730428,273.33190649660077
Adams-Normandie,Adams-Normandie,Incorporated neighborhood,17180.868265731468,1096.4119684984814,3999.1726260871756,1416.1639271074632,10412.629595743108,256.49014829524253
Agoura Hills,Agoura Hills,City,20668.52251734873,15395.286305107302,552.5617859303101,1802.0223789199235,2334.09534224357,584.5567051476287
Agua Dulce,Agua Dulce,Unincorporated neighborhood,3608.952309126253,2757.461990539294,12.296216244486564,75.16564181428599,608.2713981961446,155.75706233204008
Alhambra,Alhambra,City,85167.99999999999,7323.999999999994,1385.9999999999993,42976.99999999999,32060.999999999993,1419.9999999999998
Alondra Park,Alondra Park,Unincorporated neighborhood,8375.584368658312,1634.348494977561,1385.5407274482602,1497.3354726065143,3504.277646456385,354.0820271695931
Altadena,Altadena,Unincorporated neighborhood,44810.86095435233,17531.41794781647,9717.172179151203,3053.6207919283106,12191.205725309148,2317.4443101471998
Angeles Crest,Angeles Crest,Unincorporated area,660.6123674992145,440.4746180287533,44.108200019668836,25.105198300770198,121.59207599043975,29.332275159582466
Arcadia,Arcadia,City,57921.560942266515,13037.159936874305,699.1864644573026,35679.94613389449,6605.765175229643,1899.5032318107458
Arleta,Arleta,Incorporated neighborhood,34818.60138751239,2837.887016848365,371.63448959365724,3656.526263627353,27599.42180376611,353.131813676908
Arlington Heights,Arlington Heights,Incorporated neighborhood,23530.610048420996,1253.7442083345863,3197.655856630425,4855.653899166731,13859.110466155784,364.4456181334622
Artesia,Artesia,City,16853.000000000004,3136.0000000000005,693.0000000000002,6069.000000000002,6279.000000000001,676.0000000000005
Athens,Athens,Unincorporated neighborhood,8829.718226600982,98.7172413793103,4592.144827586206,72.56945812807881,3864.4837438423638,201.80295566502457
Atwater Village,Atwater Village,Incorporated neighborhood,14177.883220651509,4080.2808850645356,114.00000000000001,2904.1530424093426,6348.588199139524,730.861094038107
Avalon,Avalon,City,3797.299810246679,1138.8861480075902,14.999999999999998,10.958254269449716,2554.6091081593922,77.84629981024666
Avocado Heights,Avocado Heights,Unincorporated neighborhood,16302.034611212748,1003.4324591519035,49.96554265708495,1688.315749838599,13494.591752414492,65.72910715065917
Azusa,Azusa,City,47516.90020423628,8963.483734253698,1051.4731526368594,5265.187706342573,31289.975009469228,946.7806015339304
Baldwin Hills/Crenshaw,Baldwin Hills/Crenshaw,Incorporated neighborhood,31195.97996142,2162.8098127126295,17979.27404505261,1481.315716833241,8328.74143788868,1243.838948932833
Baldwin Park,Baldwin Park,City,76185.14820760739,2730.657541867342,1438.4732395380952,14915.485887503703,56196.6602952405,903.871243457848
Bel-Air,Bel-Air,Incorporated neighborhood,7561.6397099832675,5669.6664807585075,235.75738984941438,744.319018404908,555.0005577244841,356.8962632459565
Bell,Bell,City,35784.535991973935,1551.5111612741402,356.47554552294963,456.8402307499372,33191.76122397795,227.9478304489591
Bell Gardens,Bell Gardens,City,42844.999999999985,1344.9999999999998,216.00000000000017,362.99999999999994,40834.999999999985,86.00000000000001
Bellflower,Bellflower,City,77852.00000000012,12780.000000000018,9999.000000000004,10622.000000000002,42874.99999999999,1576.0000000000007
Beverly Crest,Beverly Crest,Incorporated neighborhood,10268.591213137617,8485.30922658645,105.86764587507824,814.5440853390189,518.1366243275304,344.7336310095452
Beverly Grove,Beverly Grove,Incorporated neighborhood,22346.207639171073,16487.772450223485,663.8472165786266,2099.6184477854526,2096.787484762292,998.182039821211
Beverly Hills,Beverly Hills,City,34506.0,27206.999999999975,468.9999999999995,3373.0000000000005,2004.0000000000016,1452.9999999999986
Beverlywood,Beverlywood,Incorporated neighborhood,6521.962546844887,5084.65393343949,184.2774908510841,663.8030815246121,466.3759282994072,122.85211273029286
Boyle Heights,Boyle Heights,Incorporated neighborhood,93468.98400783307,2342.7007180156675,993.9771540469984,3091.912532637076,86669.3936031332,370.99999999999983
Bradbury,Bradbury,City,933.6284829721361,456.67492260061914,12.978328173374617,356.09287925696594,95.71517027863776,12.167182662538696
Brentwood,Brentwood,Incorporated neighborhood,33297.232976120074,26776.030524691334,396.7783091427299,2844.0532511159636,1978.1529418886505,1302.2179492814143
Broadway-Manchester,Broadway-Manchester,Incorporated neighborhood,29388.519232066014,177.50101861116346,8375.21921502835,146.89900315344653,20408.477807946885,280.42218732616624
Burbank,Burbank,City,104765.00000000004,59401.00000000004,2713.9999999999964,12058.99999999998,25700.00000000002,4891.000000000002
Calabasas,Calabasas,City,23652.258730172605,18378.49212930294,206.20309184309218,2172.706161307022,1743.3540394981997,1151.5033082213322
Canoga Park,Canoga Park,Incorporated neighborhood,64383.67670050164,13981.661701068371,2632.2924064256144,8430.935321163537,38026.69614123291,1312.091130611204
Carson,Carson,City,92824.47101368973,6764.555397221481,20948.41293025075,26340.907892181684,35399.89679540244,3370.6979986333595
Carthay,Carthay,Incorporated neighborhood,4558.277949624392,3008.878921785241,341.65952275740176,300.18360583296504,585.3974812196197,322.15841802916475
Castaic,Castaic,Unincorporated neighborhood,19588.7602422977,10937.60321804873,646.8594013337204,1946.8863178183449,5319.454828728032,737.9564763688726
Castaic Canyons,Castaic Canyons,Unincorporated area,34342.98193010948,16161.099098904837,2049.6656586843897,4387.474320466637,9902.933252062125,1841.8095999914676
Central-Alameda,Central-Alameda,Incorporated neighborhood,45046.93085106383,229.3457446808511,4083.861702127659,146.0,40365.72340425534,222.00000000000003
