csa.hood.name,mapla.region.slug,date,recent.cases,population,recent.rate.cases
Rosemead,san-gabriel-valley,2020-12-21,641,55350,1158.0849141824751
Sherman Oaks,san-fernando-valley,2020-12-21,639,87254,732.3446489559218
Cudahy,southeast,2020-12-21,638,24347,2620.446050848154
West Whittier/Los Nietos,southeast,2020-12-21,629,26925,2336.1188486536676
La Mirada,southeast,2020-12-21,604,49599,1217.766487227565
Valley Glen,san-fernando-valley,2020-12-21,603,30016,2008.9285714285716
Eagle Rock,northeast-la,2020-12-21,590,39589,1490.312965722802
West Adams,south-la,2020-12-21,583,27630,2110.025334781035
Woodland Hills,san-fernando-valley,2020-12-21,574,68055,843.4354566159723
Glendora,san-gabriel-valley,2020-12-21,566,53424,1059.4489368074273
South El Monte,san-gabriel-valley,2020-12-21,548,22680,2416.225749559083
Green Meadows,south-la,2020-12-21,538,21505,2501.743780516159
Santa Monica,westside,2020-12-21,527,92446,570.0625229863921
San Jose Hills,san-gabriel-valley,2020-12-21,523,20221,2586.420058355175
Valinda,san-gabriel-valley,2020-12-21,514,23371,2199.3068332548887
Rowland Heights,san-gabriel-valley,2020-12-21,500,51022,979.9694249539415
Silverlake,central-la,2020-12-21,500,44083,1134.224077308713
Hyde Park,south-la,2020-12-21,492,28541,1723.835885217757
Chatsworth,san-fernando-valley,2020-12-21,486,37061,1311.3515555435633
Lawndale,south-bay,2020-12-21,485,33614,1442.8511929553163
Diamond Bar,san-gabriel-valley,2020-12-21,459,57515,798.0526819090672
Downtown,central-la,2020-12-21,456,27507,1657.7598429490674
Walnut Park,southeast,2020-12-21,454,16143,2812.364492349625
Lennox,south-bay,2020-12-21,440,22542,1951.9119865140626
Mt. Washington,northeast-la,2020-12-21,431,24145,1785.0486643197348
Vermont Knolls,south-la,2020-12-21,431,17200,2505.813953488372
Altadena,verdugos,2020-12-21,428,43620,981.2012838147639
Glassell Park,northeast-la,2020-12-21,425,31604,1344.766485255031
La Verne,pomona-valley,2020-12-21,421,35322,1191.8917388596342
Monrovia,san-gabriel-valley,2020-12-21,421,42681,986.3873854876878
Santa Fe Springs,southeast,2020-12-21,412,18364,2243.5199302984097
Arcadia,san-gabriel-valley,2020-12-21,411,65735,625.2376968129612
East Hollywood,central-la,2020-12-21,407,29287,1389.6950865571755
East Rancho Dominguez,southeast,2020-12-21,406,15308,2652.2079958191794
San Gabriel,san-gabriel-valley,2020-12-21,405,40954,988.914391756605
Encino,san-fernando-valley,2020-12-21,404,45172,894.3593376427876
Harvard Heights,central-la,2020-12-21,397,18035,2201.275298031605
Baldwin Hills,south-la,2020-12-21,393,31125,1262.6506024096386
San Dimas,san-gabriel-valley,2020-12-21,387,34516,1121.2191447444663
West Hills,san-fernando-valley,2020-12-21,385,40545,949.562214823036
University Park,south-la,2020-12-21,379,27456,1380.3904428904427
Cerritos,southeast,2020-12-21,377,50654,744.2650136218265
Porter Ranch,san-fernando-valley,2020-12-21,367,35588,1031.246487580083
Duarte,san-gabriel-valley,2020-12-21,358,26444,1353.8042656179096
Tarzana,san-fernando-valley,2020-12-21,357,30876,1156.237854644384
Commerce,southeast,2020-12-21,352,13069,2693.3965873440966
Little Bangladesh,central-la,2020-12-21,347,28343,1224.2881840313305
Bassett,san-gabriel-valley,2020-12-21,344,14817,2321.657555510562
Hawaiian Gardens,harbor,2020-12-21,325,14676,2214.4998637230856
Harbor City,harbor,2020-12-21,323,29070,1111.111111111111
Temple City,san-gabriel-valley,2020-12-21,320,36455,877.7945412151968
Lakeview Terrace,san-fernando-valley,2020-12-21,316,13133,2406.1524404172696
Del Rey,westside,2020-12-21,314,30254,1037.879288689099
Claremont,pomona-valley,2020-12-21,303,37186,814.8227827677082
Historic Filipinotown,central-la,2020-12-21,303,13870,2184.5710165825526
Culver City,westside,2020-12-21,300,39865,752.5398218989088
West Los Angeles,westside,2020-12-21,290,37636,770.5388457859497
Palms,westside,2020-12-21,285,43877,649.5430407730702
West Puente Valley,san-gabriel-valley,2020-12-21,283,9835,2877.4783934926286
Westwood,westside,2020-12-21,282,54109,521.1702304607367
Redondo Beach,south-bay,2020-12-21,280,68697,407.5869397499163
Tujunga,verdugos,2020-12-21,280,27810,1006.8320747932398
Mar Vista,westside,2020-12-21,271,42471,638.0824562642745
Valley Village,san-fernando-valley,2020-12-21,271,24720,1096.2783171521035
Sunland,san-fernando-valley,2020-12-21,270,20408,1323.0105840846727
Artesia,southeast,2020-12-21,262,16795,1559.9880916939567
Lake Los Angeles,antelope-valley,2020-12-21,253,12994,1947.0524857626597
Westchester,south-bay,2020-12-21,250,51603,484.46795728930493
Beverly Hills,westside,2020-12-21,247,34520,715.5272305909618
West Carson,harbor,2020-12-21,241,22086,1091.1889884995019
Cloverdale/Cochran,central-la,2020-12-21,240,14553,1649.1445062873634
Crenshaw District,south-la,2020-12-21,233,13829,1684.8651384771135
Walnut,san-gabriel-valley,2020-12-21,229,30532,750.0327525219442
West Hollywood,central-la,2020-12-21,229,36951,619.7396552190739
Figueroa Park Square,south-la,2020-12-21,224,8721,2568.5127852310516
Alsace,south-la,2020-12-21,221,12445,1775.813579750904
Northeast San Gabriel,san-gabriel-valley,2020-12-21,221,24036,919.4541521051756
Leimert Park,south-la,2020-12-21,220,15235,1444.043321299639
Venice,westside,2020-12-21,218,33885,643.352515862476
Studio City,san-fernando-valley,2020-12-21,217,22440,967.0231729055258
Covina (Charter Oak),san-gabriel-valley,2020-12-21,213,13144,1620.5112598904443
Castaic,northwest-county,2020-12-21,210,27191,772.3143687249458
Vermont Square,south-la,2020-12-21,209,7657,2729.528535980149
Athens Village,south-la,2020-12-21,206,4897,4206.6571370226675
Country Club Park,central-la,2020-12-21,203,15153,1339.6687124661782
Gramercy Place,south-la,2020-12-21,198,10764,1839.464882943144
Echo Park,central-la,2020-12-21,191,14256,1339.786756453423
Atwater Village,northeast-la,2020-12-21,190,14666,1295.5134324287467
Lomita,south-bay,2020-12-21,189,20729,911.7661247527619
Elysian Valley,central-la,2020-12-21,186,10171,1828.7287385704453
South Pasadena,san-gabriel-valley,2020-12-21,177,26053,679.3843319387403
Quartz Hill,antelope-valley,2020-12-21,173,12906,1340.4618007128468
Brentwood,westside,2020-12-21,170,30955,549.1842997900178
Hollywood Hills,central-la,2020-12-21,164,29434,557.1787728477271
Jefferson Park,south-la,2020-12-21,164,8073,2031.4629010281183
Victoria Park,central-la,2020-12-21,158,8399,1881.1763305155375
Adams-Normandie,south-la,2020-12-21,152,8202,1853.2065349914656
Avocado Heights,san-gabriel-valley,2020-12-21,151,6775,2228.7822878228785
Rancho Palos Verdes,south-bay,2020-12-21,151,42747,353.2411631225583
Mid-city,central-la,2020-12-21,150,15030,998.003992015968
North Whittier,san-gabriel-valley,2020-12-21,149,8360,1782.2966507177032
Signal Hill,harbor,2020-12-21,147,11797,1246.0795117402731
Sun Village,antelope-valley,2020-12-21,143,6036,2369.1186216037113
Crestview,westside,2020-12-21,140,11368,1231.527093596059
Stevenson Ranch,northwest-county,2020-12-21,137,20966,653.4389010779357
Beverlywood,westside,2020-12-21,132,13173,1002.049647005238
Agoura Hills,santa-monica-mountains,2020-12-21,129,20883,617.7273380261456
Carthay,central-la,2020-12-21,125,14363,870.2917217851424
Calabasas,santa-monica-mountains,2020-12-21,120,24323,493.36019405500963
Hancock Park,central-la,2020-12-21,120,17039,704.2666823170374
La Crescenta-Montrose,verdugos,2020-12-21,119,19801,600.9797484975506
Los Feliz,central-la,2020-12-21,118,21608,546.0940392447242
Miracle Mile,central-la,2020-12-21,118,17985,656.1023074784542
Little Armenia,central-la,2020-12-21,117,8025,1457.943925233645
Cadillac-Corning,central-la,2020-12-21,116,7121,1628.984693161073
El Camino Village,south-bay,2020-12-21,113,8791,1285.405528381299
Hermosa Beach,south-bay,2020-12-21,109,19670,554.1433655312659
Manchester Square,south-la,2020-12-21,109,8536,1276.9447047797562
South Carthay,central-la,2020-12-21,109,10595,1028.7871637564888
South San Gabriel,san-gabriel-valley,2020-12-21,109,8848,1231.9168173598555
Thai Town,central-la,2020-12-21,109,9809,1111.2243857681722
Manhattan Beach,south-bay,2020-12-21,103,35999,286.1190588627462
Canyon Country,northwest-county,2020-12-21,102,7728,1319.8757763975157
Chinatown,central-la,2020-12-21,100,8021,1246.7273407305822
Pacific Palisades,westside,2020-12-21,88,21291,413.3201822366258
View Park/Windsor Hills,south-la,2020-12-21,88,11635,756.3386334336055
Reseda Ranch,san-fernando-valley,2020-12-21,87,4636,1876.6177739430543
Beverly Crest,westside,2020-12-21,86,12525,686.626746506986
Longwood,central-la,2020-12-21,85,4304,1974.9070631970262
El Segundo,south-bay,2020-12-21,84,16786,500.4170141784821
La Canada Flintridge,verdugos,2020-12-21,84,20693,405.93437394287923
Sierra Madre,san-gabriel-valley,2020-12-21,84,10989,764.4007644007644
Elysian Park,central-la,2020-12-21,82,5712,1435.5742296918768
Lafayette Square,central-la,2020-12-21,82,4559,1798.6400526431235
Littlerock,antelope-valley,2020-12-21,81,4021,2014.4242725690126
St Elmo Village,central-la,2020-12-21,80,4584,1745.2006980802792
Wellington Square,central-la,2020-12-21,77,4915,1566.6327568667346
Littlerock/Pearblossom,antelope-valley,2020-12-21,71,3569,1989.3527598767162
Wiseburn,south-bay,2020-12-21,70,6027,1161.4401858304298
Rosewood/West Rancho Dominguez,southeast,2020-12-21,69,3361,2052.9604284439156
Playa Vista,westside,2020-12-21,67,10947,612.0398282634512
Toluca Lake,san-fernando-valley,2020-12-21,67,8704,769.7610294117648
Acton,antelope-valley,2020-12-21,66,7971,828.0015054572827
Century City,westside,2020-12-21,66,12792,515.9474671669793
East Whittier,san-gabriel-valley,2020-12-21,65,5306,1225.028269883151
Exposition,south-la,2020-12-21,63,3326,1894.1671677690922
Park La Brea,central-la,2020-12-21,63,13580,463.91752577319585
East La Mirada,san-gabriel-valley,2020-12-21,62,5292,1171.5797430083144
Desert View Highlands,antelope-valley,2020-12-21,57,2493,2286.401925391095
Rancho Dominguez,harbor,2020-12-21,57,2661,2142.051860202931
Shadow Hills,san-fernando-valley,2020-12-21,56,4442,1260.6933813597477
Cheviot Hills,westside,2020-12-21,53,9171,577.90862501363
Irwindale,san-gabriel-valley,2020-12-21,52,1459,3564.084989718986
Little Tokyo,central-la,2020-12-21,52,3133,1659.7510373443984
Santa Monica Mountains,santa-monica-mountains,2020-12-21,49,18621,263.1437624187745
Reynier Village,central-la,2020-12-21,48,4228,1135.2885525070956
Marina del Rey,westside,2020-12-21,41,9411,435.66039740728934
San Marino,san-gabriel-valley,2020-12-21,41,13277,308.80469985689535
Angelino Heights,central-la,2020-12-21,40,2502,1598.721023181455
Bel Air,westside,2020-12-21,39,8429,462.6883378811247
West LA,westside,2020-12-21,39,952,4096.638655462185
Agua Dulce,northwest-county,2020-12-21,38,4158,913.9009139009139
West Rancho Dominguez,southeast,2020-12-21,38,1359,2796.1736571008096
Kagel/Lopez Canyons,angeles-forest,2020-12-21,37,1412,2620.3966005665725
Ladera Heights,westside,2020-12-21,36,7071,509.1217649554518
Regent Square,central-la,2020-12-21,36,2780,1294.9640287769785
Rolling Hills Estates,south-bay,2020-12-21,36,8113,443.7322815234808
University Hills,eastside,2020-12-21,35,3429,1020.7057451151938
White Fence Farms,antelope-valley,2020-12-21,31,3683,841.7051316861255
Del Aire,south-bay,2020-12-21,30,4393,682.9046209879353
Industry,san-gabriel-valley,2020-12-21,30,437,6864.988558352403
La Rambla,harbor,2020-12-21,28,2075,1349.3975903614457
Sunrise Village,san-gabriel-valley,2020-12-21,28,1296,2160.4938271604938
View Heights,south-la,2020-12-21,28,3694,757.9859231185707
Malibu,santa-monica-mountains,2020-12-21,27,12961,208.31725947071982
Palos Verdes Estates,south-bay,2020-12-21,27,13522,199.6746043484692
Rancho Park,westside,2020-12-21,27,6560,411.5853658536586
Del Sur,antelope-valley,2020-12-21,25,2415,1035.1966873706003
Harbor Pines,harbor,2020-12-21,25,2409,1037.77501037775
North Lancaster,antelope-valley,2020-12-21,25,1198,2086.8113522537565
Leona Valley,antelope-valley,2020-12-21,24,1751,1370.6453455168476
Val Verde,northwest-county,2020-12-21,24,3309,725.2946509519493
Valencia,northwest-county,2020-12-21,22,3072,716.1458333333333
Anaverde,antelope-valley,2020-12-21,21,1508,1392.5729442970824
Toluca Terrace,san-fernando-valley,2020-12-21,21,1306,1607.9632465543646
Mandeville Canyon,westside,2020-12-21,20,3124,640.2048655569782
Rosewood/East Gardena,southeast,2020-12-21,20,1193,1676.4459346186086
Santa Catalina Island,harbor,2020-12-21,20,267,7490.63670411985
Littlerock/Juniper Hills,antelope-valley,2020-12-21,19,1297,1464.9190439475715
Pellissier Village,san-gabriel-valley,2020-12-21,19,619,3069.466882067851
Toluca Woods,san-fernando-valley,2020-12-21,19,1858,1022.604951560818
Faircrest Heights,central-la,2020-12-21,18,3600,500
Pearblossom/Llano,antelope-valley,2020-12-21,18,1956,920.2453987730062
Southeast Antelope Valley,antelope-valley,2020-12-21,18,781,2304.7375160051215
La Habra Heights,san-gabriel-valley,2020-12-21,17,5455,311.64069660861594
Twin Lakes/Oat Mountain,northwest-county,2020-12-21,17,1658,1025.3317249698432
Lake Manor,san-fernando-valley,2020-12-21,16,1643,973.8283627510651
Marina Peninsula,westside,2020-12-21,15,4360,344.03669724770646
Palisades Highlands,westside,2020-12-21,14,3846,364.01456058242326
Roosevelt,antelope-valley,2020-12-21,14,931,1503.7593984962405
East Pasadena,verdugos,2020-12-21,13,6403,203.0298297672966
Vernon,southeast,2020-12-21,13,209,6220.095693779904
Newhall,northwest-county,2020-12-21,12,0,Inf
Saugus,northwest-county,2020-12-21,12,155,7741.935483870968
Westlake Village,santa-monica-mountains,2020-12-21,11,8360,131.57894736842104
Rosewood,southeast,2020-12-21,10,1286,777.6049766718507
Hi Vista,antelope-valley,2020-12-21,9,1098,819.672131147541
Elizabeth Lake,antelope-valley,2020-12-21,8,1661,481.63756773028297
West Antelope Valley,antelope-valley,2020-12-21,8,1511,529.450694904037
Llano,antelope-valley,2020-12-21,6,877,684.1505131128848
Playa Del Rey,south-bay,2020-12-21,6,3196,187.73466833541926
Sycamore Square,central-la,2020-12-21,6,647,927.3570324574961
Angeles National Forest,angeles-forest,2020-12-21,5,1245,401.6064257028112
Bouquet Canyon,northwest-county,2020-12-21,5,1073,465.9832246039142
San Pasqual,san-gabriel-valley,2020-12-21,5,2035,245.7002457002457
East Lancaster,antelope-valley,2020-12-21,4,114,3508.771929824561
Palos Verdes Peninsula,south-bay,2020-12-21,4,621,644.122383252818
Saugus/Canyon Country,northwest-county,2020-12-21,4,356,1123.5955056179776
Bradbury,san-gabriel-valley,2020-12-21,3,1177,254.88530161427357
Brookside,central-la,2020-12-21,3,581,516.3511187607573
Rolling Hills,south-bay,2020-12-21,3,1940,154.63917525773195
South Antelope Valley,antelope-valley,2020-12-21,3,455,659.3406593406594
Westfield/Academy Hills,south-bay,2020-12-21,3,1300,230.7692307692308
East Covina,san-gabriel-valley,2020-12-21,2,329,607.90273556231
Hidden Hills,santa-monica-mountains,2020-12-21,2,1890,105.82010582010582
Padua Hills,pomona-valley,2020-12-21,2,0,Inf
Westhills,san-fernando-valley,2020-12-21,2,839,238.37902264600714
Lake Hughes,northwest-county,2020-12-21,1,668,149.7005988023952
Sand Canyon,angeles-forest,2020-12-21,1,0,Inf
Avalon,harbor,2020-12-21,0,3723,0
San Francisquito Canyon/Bouquet Canyon,northwest-county,2020-12-21,0,0,NaN
West Chatsworth,san-fernando-valley,2020-12-21,0,0,NaN
Whittier Narrows,san-gabriel-valley,2020-12-21,0,0,NaN
