term,estimate,std.error,statistic,p.value
(Intercept),1532.9923403202317,97.36158175705052,15.74535163310675,2.468746549294123e-40
pct.crowded,148.619601866097,7.10062367993807,20.93049970892039,5.502639932332659e-59
