mapla.region.slug,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30
central-la,26.907305444615428,31.68835558560081,36.80296736432936,43.36301290661164,50.81255614954235,59.15159709312151,65.26689378507956,75.38493012995562,83.94634549869689,94.06438184357293,99.84611689778781,107.96278341620487,115.96826272204086,115.96826272204086,130.8673492079023,136.98264589986033,139.76232621438675,143.43150422956157,150.99223468507333,157.32990580219348,163.00045364382734,169.67168639869067,180.45684601905302,185.1267089474574,203.2502245981694,224.0422333508268,240.38675360024197,251.7278492835096,262.40182169129093,268.2947439580869,273.8541045871396,283.08264323136723,290.64337368687904,303.8746519840246,303.8746519840246,329.78127251541054,338.78743673447605,346.45935440256886,352.9082127322701,372.03241329621164,385.1525043807762,395.1593535130712,407.9458829598925,417.2856088167012,423.7344671464025,430.4056999012658,447.9732794890725,464.98492301397397,476.5483931224038,476.5483931224038,502.6773880789519,509.12624640865306,513.7961093370574,528.0280725474324,528.0280725474324,558.3821815820606,568.9449667772609,580.5084368856906,588.9586650418508,603.9689387402933,624.0938242174644,636.8803536642857,646.3312667336755,658.1171112672673,679.9098049331542,696.9214484580558,703.8150556380812,714.4890280458625,722.6056945642796,740.5068357898296,770.1938215489713,795.544506017452,819.3385695097978,828.1223593037013,836.4614002472804,836.1278386095372,848.1360575682911,853.5842309847628,864.5917650302873,872.4860571235423,877.1559200519467,887.6075180345659,919.9629968956531,926.1894808001922,938.8648230344324,953.6527223077129,963.2148225896836,995.903863088514,1014.9168764398744,1023.3671045960347,1043.0472412228814,1056.7232683703514,1073.2901630449287,1097.3066009624365,1125.7705273831866,1152.6778328278021
eastside,5.172645670323153,6.207174804387782,8.276233072517044,9.310762206581675,11.034977430022726,13.793721787528407,20.00089659191619,25.518385306927552,35.51883360288565,37.93273491570312,42.41569449664985,45.86412494353195,51.381613658543316,51.381613658543316,61.38206195450141,66.20986458013635,69.31345198233025,71.72735329514772,77.5896850548473,81.3829585464176,86.21076117205254,88.27981944018181,94.14215119988137,97.59058164676347,120.35022259618536,144.14439267967185,162.0762310034588,181.04259846131035,196.90537851696797,205.18161158948502,206.90582681292608,225.87219427077764,232.76905516454184,246.90761999675848,246.90761999675848,268.6327318121157,276.21927879525634,293.8062740743551,297.5995475659254,318.290130247218,326.91120636442326,336.9116546603813,348.9811612244687,364.1542551907499,369.3269008610731,376.5686047995255,386.22421005079536,400.7076179277002,411.0529092683465,411.0529092683465,435.1919223965212,442.4336263349736,446.2268998265439,473.81434340160075,473.81434340160075,516.919723987627,528.6443875070262,550.3694993223834,566.5771224227293,584.164117701828,635.2008883156831,645.8910227010176,662.0986458013635,725.5497660239943,782.4488683975488,805.8981954363471,819.6919172238755,839.6928138157917,852.4520064692556,884.8672526699472,912.1098532003158,942.4560411328783,969.3537986185588,987.2856369423456,1005.2174752661326,1030.046174483684,1082.80716032098,1129.0161283092002,1165.9143340908386,1194.8811498446482,1213.5026742578116,1253.1596243969557,1310.0587267705102,1321.4385472452213,1352.129578222472,1383.5102952890993,1417.649756713232,1488.687423919003,1523.8614144772007,1542.138095845676,1576.6224003144969,1612.1412339173826,1650.0739688330855,1697.6623090000587,1750.768137882043,1797.6667919596398
san-fernando-valley,11.437932612128636,15.435059600238105,18.63276119072568,21.338508690369014,25.520118462545078,30.4396593709875,35.48218880214098,41.07816658549424,49.9333402206906,56.51322618573234,61.063801526041594,68.01265305921652,73.36265379714766,73.36265379714766,82.77127578454379,87.38334538620856,90.76552976076273,93.65576004447264,99.62070339595908,105.46265822473447,109.02932538335523,114.93277447348613,122.06610879072765,124.4028907222378,139.5919732770538,159.20864264946795,177.59542679477153,190.26324463401076,201.88566003020597,208.28106321118113,213.56956968775674,228.38968667443956,235.2155496849034,253.47934530749592,253.47934530749592,277.89256706564146,285.9483153032159,297.01728234721134,303.78165109631965,333.54487359239636,342.21556444352615,351.93165773769994,359.00349779358595,370.68740745113666,374.1925803484019,383.90867364257565,394.73166364114894,406.8460331281885,419.5753452287832,419.5753452287832,443.5581071574401,451.36787834959244,458.2552356214118,467.5408690860969,467.5408690860969,486.11213601546706,496.3816776618406,510.5253577736126,520.3644395904975,529.5270845324715,541.7029482808664,553.140880892995,566.239158561723,577.4926083897851,592.9276679900231,607.870773499417,618.3247979298573,633.8828460528064,644.0293991764688,653.2535383797983,662.1087120149948,670.0414717298581,681.7868756487644,691.7489459883604,701.1575679757565,710.3202129177306,727.1081462677903,739.6529755843185,751.1524024578026,759.7615990475769,765.6035538763523,774.274244727482,790.4472354639865,801.639191030693,815.1064342675542,832.3248274471026,843.2093117070315,859.3208081821805,876.6621898844401,885.0254094287922,900.8294345971633,917.5558736858677,932.8064505020392,950.5167977724318,977.2053072007319,993.0708266304588
south-bay,15.339973780246495,18.949379375598614,23.33222902709761,27.45726399321432,33.64481644238938,39.05892483541755,44.60194057113687,51.8207517618411,56.719230784104695,61.61770980636828,67.4185402274699,72.96155596318923,78.50457169890855,78.50457169890855,87.78590037267112,93.7156381364639,97.32504373181601,99.7742832429478,104.67276226521138,108.02435317518122,110.7314073716953,115.6298863939589,120.27055073084017,122.71979024197196,131.74330423035227,147.47000003867223,152.36847906093578,158.29821682472857,162.80997381891868,167.1928234704177,168.61080424002031,174.66944934650422,177.24759620032717,187.68909095831006,187.68909095831006,196.97041963207266,200.3220105420425,204.9626748789238,207.2830070473644,218.2401311761119,225.84566439488958,230.2285140463886,232.1621241867558,237.06060320901938,238.22076929323973,239.63875006284232,244.53722908510593,250.4669668488987,254.20527978694193,254.20527978694193,262.3264423764842,265.5491259437629,268.51399482565927,272.639029791776,272.639029791776,282.307080493612,286.4321154597287,291.07277979661,293.65092665043295,298.93612770077,303.5767920376512,307.3151049756945,312.08467665526695,317.24097036291283,323.557430154779,329.35826057588065,333.7411102273797,342.8935315584511,348.6943619795527,353.20611897374283,358.1045979960065,364.42105778787266,368.6750000966805,372.5422203774149,375.24927457392903,382.72590045001556,391.6205070957046,398.8393182864089,406.4448515051866,411.4722378701413,415.3394581508757,420.8824738865951,429.26145116151963,434.031022841092,439.7029459195025,451.94914347516146,461.2304721489241,471.41415222152466,483.918164462566,492.03932705210826,500.28939698434164,509.69963300079536,524.0083480395127,538.31706307823,550.9499826619624,565.3876050433709
south-la,5.81223629943218,8.06596057880384,9.370748319492698,10.794153127516905,17.43670889829654,26.214371881112488,32.14522524788001,37.24575914330009,44.60001731809184,51.95427549288357,56.46172405162689,63.69736515908328,70.69577213186896,70.69577213186896,81.48992525938587,87.1835444914827,88.84418343417761,92.40269545423813,100.35003896570662,106.3995093998095,109.4835531505286,117.07504545999106,124.90377190412421,128.58090099152005,147.6782488325115,168.19900148152718,186.70326398584186,202.83518514344956,219.44157457039864,226.79583274519038,233.20115438129932,247.1979683268707,257.3990361177108,273.64957434265386,273.64957434265386,298.67777555041283,307.9299068025702,317.8937404587396,322.2825719501476,350.8692851779671,365.696418594886,377.6767423957563,384.43791523387137,397.96026091010134,403.7724972095335,411.95707485567266,426.78420827259157,445.2884707769062,456.31985803909384,456.31985803909384,488.3464662196385,502.1060460305392,512.188496754044,531.4044616623707,531.4044616623707,566.2778794589639,586.7986321079795,603.6422556695993,618.9438573558594,639.8204612068813,673.3890912627854,693.1981415077889,716.209852570847,743.4917780579776,775.3997691711869,798.1742460995744,817.034359805895,840.1646879362884,859.6178869792859,879.0710860222835,901.0152434793233,927.2296153604358,956.765265126938,971.3551644091863,994.4854925395796,1015.955181727278,1048.3376411098286,1076.4498860683068,1106.4600041041506,1120.456818049722,1140.2658682947254,1168.6153473878744,1209.0637673492288,1227.8052639882142,1251.2914433206136,1291.5026291472975,1322.81753492383,1369.4340423866229,1405.1377796545632,1426.1330005729205,1454.126628464063,1487.4580243852968,1515.333035209104,1551.9857090157275,1603.8213674412757,1646.6421287493372
westside,35.82371947593029,41.91027375582135,49.04023734083661,56.17020092585186,64.34357381599129,71.47353740100654,76.69058392662745,86.42907077445317,93.55903435946843,97.38486847825709,102.08021035131591,107.99286308035296,111.47089409743356,111.47089409743356,118.77475923330285,122.42669180123748,123.47010110636168,124.8613135131939,126.94813212344228,129.20885228454466,131.4695724456471,133.55639105589543,136.86052052212202,138.9473391323704,151.1204476921525,158.9460174805839,162.59795004851853,166.9454888198693,169.72791363353377,175.6405663625708,177.55348342196515,179.29249893050545,181.72712064246187,184.6834470069804,184.6834470069804,194.9436385073682,200.33458658384313,202.59530674494553,206.42114086373422,212.15989204191723,215.8118246098519,219.28985562693248,221.7244773388889,224.5069021525534,228.85444092390415,231.28906263586057,232.85417659354687,237.37561691575164,239.98414017856211,239.98414017856211,246.59239911101528,249.3748239246798,249.89652857724184,250.93993788236602,250.93993788236602,254.7657720011547,256.8525906114031,259.8089169759216,262.59134178958607,265.89547125581265,268.3300929677691,271.2864193322876,277.0251705104706,281.19880773096736,285.7202480531721,288.8504759685447,290.763393027939,293.8936209433116,296.84994730783006,299.2845690197865,304.15381244369934,305.71892640138566,309.8925636218824,311.63157913042267,314.9357085966493,317.8920349611678,322.5873768342266,326.7610140547233,333.54317453803054,337.54291020767323,338.4124179619434,343.10775983500224,350.75942807257957,355.80257304734647,361.0196195729673,369.3668940139608,373.1927281327495,379.4531839634946,388.84386770961225,393.01750493010894,400.8430747185403,405.71231814245317,416.66811584625714,427.79781510091505,436.66679419447064,444.84016708461
