csa.hood.name,mapla.region.slug,top.region.pct.csa,population
Pellissier Village,san-gabriel-valley,0.9998897045717903,619
Wilshire Center,central-la,0.9998850634504516,50170
San Jose Hills,san-gabriel-valley,0.999879295222302,20221
Valley Glen,san-fernando-valley,0.9998748917215554,30016
White Fence Farms,antelope-valley,0.9998744698672843,3683
Lake Balboa,san-fernando-valley,0.9998686138988006,42206
Paramount,southeast,0.9998677321739976,56023
Granada Hills,san-fernando-valley,0.9998617297659895,58191
Santa Monica Mountains,santa-monica-mountains,0.9998381172797574,18621
Gramercy Place,south-la,0.9998379310248463,10764
Century Palms/Cove,south-la,0.9998355331662532,33766
Signal Hill,harbor,0.9998320499105434,11797
Monrovia,san-gabriel-valley,0.9998311304843236,42681
Shadow Hills,san-fernando-valley,0.9998223867596826,4442
Rosemead,san-gabriel-valley,0.999822351691934,55350
Lynwood,southeast,0.999820054802024,72047
Carson,harbor,0.9998185572744404,93846
Mid-city,central-la,0.9998170904141357,15030
Baldwin Park,san-gabriel-valley,0.9998155802152602,76769
Sierra Madre,san-gabriel-valley,0.9998054365188702,10989
Hancock Park,central-la,0.9997991168664636,17039
Llano,antelope-valley,0.9997915308777297,877
North Lancaster,antelope-valley,0.999784930329208,1198
Vernon Central,south-la,0.9997798183211398,51998
Brentwood,westside,0.9997664637886917,30955
Duarte,san-gabriel-valley,0.9997663963080574,26444
Del Rey,westside,0.9997645477456008,30254
Industry,san-gabriel-valley,0.9997611970847868,437
Palms,westside,0.9997291493188644,43877
La Puente,san-gabriel-valley,0.9997210617420844,40697
Bel Air,westside,0.9997176497604997,8429
Inglewood,south-bay,0.9997106954307509,113582
Tarzana,san-fernando-valley,0.999660769498255,30876
Santa Fe Springs,southeast,0.9996325710630759,18364
View Park/Windsor Hills,south-la,0.9996271912229803,11635
Hollywood,central-la,0.9996260540664318,68254
Rosewood/West Rancho Dominguez,southeast,0.9996247994032743,3361
Kagel/Lopez Canyons,angeles-forest,0.9996188175066312,1412
Westfield/Academy Hills,south-bay,0.9996159323376467,1300
Beverly Hills,westside,0.99961231436387,34520
Newhall,northwest-county,0.9995917091811841,0
Woodland Hills,san-fernando-valley,0.9995878236410688,68055
Westwood,westside,0.9995874929229779,54109
Sherman Oaks,san-fernando-valley,0.9995873826383601,87254
La Crescenta-Montrose,verdugos,0.9995805899784709,19801
Bell,southeast,0.9995701124765684,36332
Gardena,south-bay,0.9995528255844146,61310
Agoura Hills,santa-monica-mountains,0.9995501492909165,20883
Boyle Heights,eastside,0.9995465758215643,86884
Regent Square,central-la,0.9995257564823152,2780
Sunrise Village,san-gabriel-valley,0.9995193085395688,1296
Calabasas,santa-monica-mountains,0.9994976477066942,24323
West Hollywood,central-la,0.9994948072892891,36951
Arleta,san-fernando-valley,0.999489907692552,34370
Maywood,southeast,0.9994776873164488,28049
Exposition Park,south-la,0.9994740087207076,44917
Del Aire,south-bay,0.9994414142603526,4393
Country Club Park,central-la,0.9994220392691102,15153
Torrance,south-bay,0.9994201777323564,149268
Historic Filipinotown,central-la,0.9993912362575295,13870
South San Gabriel,san-gabriel-valley,0.9993507515943365,8848
Koreatown,central-la,0.9993373198460387,51693
Rolling Hills Estates,south-bay,0.9993278217895878,8113
Valinda,san-gabriel-valley,0.9993140866459544,23371
Carthay,central-la,0.9993036923614124,14363
Mar Vista,westside,0.9992924364427438,42471
Pico-Union,central-la,0.9992736745260132,41842
Studio City,san-fernando-valley,0.9992120841772866,22440
Malibu,santa-monica-mountains,0.9992119941613484,12961
West Vernon,south-la,0.9991884967244371,53644
Watts,south-la,0.9991659585483266,42674
San Marino,san-gabriel-valley,0.9991462868216985,13277
Tujunga,verdugos,0.9991259904983518,27810
Beverlywood,westside,0.9990757752597593,13173
Cudahy,southeast,0.9990724030470408,24347
West Hills,san-fernando-valley,0.9990643125689825,40545
Jefferson Park,south-la,0.9990625539454145,8073
Valley Village,san-fernando-valley,0.9990604682073021,24720
San Fernando,san-fernando-valley,0.9989825665551193,24612
