poverty.bin,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01
high >25% (1.3M),7.93081191098017,10.050929946588731,12.014002201781842,13.977074456974952,20.101859893177462,25.91255376854907,30.46688140059709,36.82723550742277,43.815772735910244,49.07680637982778,53.39556534125263,60.148533899116934,66.74445667656579,66.74445667656579,77.81618419585493,82.92017205935703,84.64767564392696,88.49529726410546,95.7194031632161,101.45157414838,105.37771865876621,113.38705345995412,121.55343404155745,125.63662433235912,147.23041913948336,167.80341637390714,186.17777268251467,202.90314829676,218.60772633830487,226.77410691990823,233.5270754777725,247.8967643857861,258.183263002998,274.98716150745105,274.98716150745105,304.19767666472455,314.4841752819364,324.5351052285252,330.89545933535084,356.6509673234845,373.8474802789761,385.78295959055026,398.73923647482474,412.79483382200743,420.56859995257213,429.75577810687594,447.5804741840294,470.8232496855158,484.87884703269856,484.87884703269856,522.648357222614,536.2328172285503,545.2629496024387,568.6627708843405,568.6627708843405,616.1691194600138,636.1139335727759,655.1164730030451,675.2968557864303,696.4195132523082,741.7272209021652,761.3579434540962,781.1457117864428,814.125325673687,856.6062092760661,876.6295462790358,892.4126472107885,913.1426902256277,930.1821574007038,957.9007376440306,992.6863780060526,1026.6867894659972,1059.1952660119953,1074.7427982731247,1098.1426195550264,1111.8841253413782,1141.4087320594826,1167.1642400476162,1194.8042974007353,1211.6081959051885,1229.118800421511,1258.721930029823,1305.443049703419,1322.1684253176643,1346.4319983918513,1385.0652603740516,1416.4744164571414,1467.4357722019545,1502.1428896737687,1520.7528146529994,1553.0257225283742,1583.8066954898022,1612.7816419764524,1651.8075184096915,1701.276939240558,1745.4068035372993,1772.2616319883407
low <5% (336K),22.593495451572625,25.269040965574646,31.21469766335692,37.4576371960283,45.48427373803436,51.727213270705754,58.56471847315537,63.02396099649206,69.86146619894167,75.80712289672394,79.67179975028242,85.9147392829538,90.3739818062905,90.3739818062905,96.02235566918365,99.2924668529639,100.48159819252038,102.56257803674416,104.34627504607883,105.5354063856353,106.72453772519175,108.80551756941556,110.88649741363933,111.77834591830668,118.31856828586717,123.3723764789821,126.64248766276235,129.61531601165348,131.69629585587728,136.4528212141031,137.64195255365956,139.12836672810514,141.80391224210715,144.47945775610918,144.47945775610918,147.1550032701112,148.93870027944587,151.911528628337,153.39794280278255,158.15446816100837,160.8300136750104,164.39740769367978,165.2892561983471,168.55936738212736,169.74849872168383,170.0457815565729,174.20774124502051,176.88328675902252,178.96426660324633,178.96426660324633,182.8289434568048,186.09905464058505,188.47731731969796,192.34199417325644,192.34199417325644,196.80123669659315,200.66591355015163,204.53059040371008,207.20613591771212,209.2871157619359,212.85450978060527,215.23277245971815,217.31375230394198,219.6920149830549,223.55669183661337,225.63767168083714,228.01593435995008,228.31321719483915,229.79963136928473,232.17789404839763,234.8534395623997,236.93441940662348,239.01539925084725,239.9072477555146,241.98822759973837,244.0692074439622,250.90671264641182,255.9605208395267,258.04150068375054,261.31161186753076,263.98715738153277,265.4735715559783,270.2300969142042,276.1757536119864,280.63499613532315,285.98608716332717,291.33717819133125,296.093703549557,303.823057256674,307.09316844045424,311.552410963791,314.52523931268206,324.63285569891195,330.5785123966942,342.7671086271479,349.90189666448657,356.7394018669362
medium (8.6M),11.881320990025245,15.02807786372229,17.631093659979037,20.48862655631422,24.364227852963158,28.667880636107643,32.6707404827958,38.00403062534851,43.996751436286274,49.97790328812955,54.45509045769116,59.31405327737042,64.05732650610494,64.42753319712813,73.71740734999109,78.06733596951348,80.53152425663653,83.23866068474355,88.34057164540678,92.43598316485073,95.66372275220908,101.03171977204524,106.35344095550347,109.02587050632705,119.6924507914325,134.10737382314764,145.45652269482707,154.20265577024972,162.03484107720894,167.74990686987928,171.25530147550504,179.29572804616478,184.14312190674957,195.31873639201189,195.64266724665714,213.74808822950965,219.44001610399107,226.18471925606966,230.80073393476496,245.47017406655854,252.4115495232432,260.1049073210687,265.7736972773612,274.05707198900484,277.6665872264809,282.8494809008054,292.2550446446131,304.0322450027881,311.84129239155834,313.1370158101395,328.5468693239794,333.70662508011503,337.6747780495198,346.2011009021474,347.5662380752954,365.82205552637606,373.71208562880764,383.47628710454404,390.67217966130715,398.81672686381717,413.2663567728157,421.31835230256996,430.7470539645666,446.654372719469,463.9383976066137,475.03302937821474,483.478369517181,495.00105277527757,504.61485778278586,517.6415057231641,528.342792885553,538.8358387842412,550.6940218560776,558.1560004720135,569.4010287118426,581.1550911518287,598.1267541434227,612.229315279587,625.9501007656337,634.0368031726713,641.3715232385681,652.4430170919802,669.8543005291642,679.5028124139559,690.7015648174072,708.1359861727801,721.2204789086306,743.2709149426989,766.6980571090097,777.4918959441543,794.3247314266147,810.5444120770678,827.8515748824016,850.7581138894609,875.87432408356494,902.4135162462893,918.0894558193022
