mapla.region.slug,cases,population,rate.cases,total.homes,crowded,pct.crowded,area,density
antelope-valley,27821,392606,7086.23913032404,114170.22963339745,6827.49154213349,5.980097932759425,1668.2247480813014,235.34358931645954
central-la,48284,899384,5368.563372263683,367356.3991651324,57905.42720702103,15.762738130768655,96.53000022413383,9317.144907404047
eastside,29641,289987,10221.492687603237,74044.7542627652,15311.228371497837,20.678343150633395,29.58417481311785,9802.09865010051
harbor,48565,908451,5345.91298815236,299328.4447356612,34659.61841608361,11.579126215917013,278.641104131622,3260.2906984278743
northeast-la,8378,158395,5289.308374633038,51230.846148265926,6560.670671414765,12.806094696206442,22.50639290910322,7037.778138847543
northwest-county,13933,290758,4791.957572964458,88381.60033233414,4914.775982225421,5.560858780271899,906.2878812072044,320.8230034067112
pomona-valley,16442,230377,7136.997182878499,63260.63584696876,7349.009110441585,11.617033265709303,73.50671625995813,3134.094566070217
san-fernando-valley,109074,1626168,6707.425063093112,530772.6227039819,56809.44463212039,10.703160299170833,343.1884548570337,4738.411146952578
san-gabriel-valley,82128,1491496,5506.4177175131545,434403.1829996979,43104.64060794202,9.922726696036202,425.6564562334765,3503.9900796944585
south-bay,27528,775751,3548.561329601895,272316.1728982117,20701.57106541343,7.602035106872412,152.64995635914556,5081.894672638229
south-la,75094,843049,8907.43005448082,231249.53453212988,44010.17738134643,19.03146636398165,74.3858628104685,11333.457301531169
southeast,103316,1219178,8474.234279161861,318014.7864358548,57828.78840125662,18.184308047236346,194.7855026519841,6259.079774423763
verdugos,18987,462921,4101.5637657397265,169030.59589637796,10310.521840882624,6.099796185539899,121.76562420810318,3801.737994697471
westside,15294,575038,2659.6503187615426,249701.6209935979,11163.75180692394,4.470836738064334,147.2443114157973,3905.3325352323677
