date,hosp
2021-02-11,9872
2021-02-12,9414
2021-02-13,8996
2021-02-14,8727
2021-02-15,8479
2021-02-16,8215
2021-02-17,7904
2021-02-18,7514
2021-02-19,7148
2021-02-20,6704
2021-02-21,6569
2021-02-22,6345
2021-02-23,6185
2021-02-24,5934
2021-02-25,5590
2021-02-26,5372
2021-02-27,5143
2021-02-28,4912
2021-03-01,4812
2021-03-02,4597
2021-03-03,4449
2021-03-04,4179
2021-03-05,4004
2021-03-06,3812
2021-03-07,3766
2021-03-08,3744
