"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","persons_tested_final","testing_rate_final","adj_testing_rate_final","population"
"284","Unincorporated - Sunrise Village",1,1,107.7,0,0,0,5,385.8,300.74,1296
"285","Unincorporated - Twin Lakes/Oat Mountain",4,4,279.6,1,60.31,77.54,26,1568.15,1443.99,1658
"286","Unincorporated - Val Verde",4,4,107.94,0,0,0,19,574.19,551.04,3309
"287","Unincorporated - Valencia",5,5,392.88,0,0,0,30,976.56,1055.72,3072
"288","Unincorporated - Valinda",35,35,141.76,1,4.28,4.6,139,594.75,611.15,23371
"289","Unincorporated - View Park/Windsor Hills",28,28,221.32,1,8.59,3.48,162,1392.35,1225.37,11635
"290","Unincorporated - Walnut Park",56,56,355.07,2,12.39,11.33,102,631.85,630.05,16143
"291","Unincorporated - West Antelope Valley",2,2,211.34,0,0,0,6,397.09,322.19,1511
"292","Unincorporated - West Carson",74,74,280.86,6,27.17,16.32,224,1014.22,931.79,22086
"293","Unincorporated - West LA",21,21,1429.82,2,210.08,67.43,13,1365.55,1491.05,952
"294","Unincorporated - West Puente Valley",24,24,248.44,0,0,0,54,549.06,512.67,9835
"295","Unincorporated - West Rancho Dominguez",3,3,224.88,1,73.58,63.45,10,735.84,634.34,1359
"296","Unincorporated - West Whittier/Los Nietos",51,51,187.46,1,3.71,3.96,147,545.96,564.15,26925
"297","Unincorporated - White Fence Farms",2,2,39.01,0,0,0,18,488.73,528.04,3683
"298","Unincorporated - Whittier",6,6,142.28,0,0,0,16,422.83,413.2,3784
"299","Unincorporated - Willowbrook",74,74,228.18,3,8.59,11.8,206,590.04,638.17,34913
"300","Unincorporated - Wiseburn",9,9,137.32,0,0,0,65,1078.48,1101.24,6027
"301","City of Hidden Hills",0,0,0,0,0,0,20,1058.2,733.71,1890
"302","Los Angeles - Brookside",0,0,0,0,0,0,8,1376.94,1479.36,581
"303","Unincorporated - Angeles National Forest",0,0,0,0,0,0,6,481.93,419.24,1245
"304","Unincorporated - Bouquet Canyon",0,0,0,0,0,0,1,93.2,144.24,1073
"305","Unincorporated - Bradbury",0,0,0,0,0,0,3,2777.78,43.08,108
"306","Unincorporated - Cerritos",0,0,0,0,0,0,4,681.43,752.17,587
"307","Unincorporated - Claremont",0,0,0,0,0,0,5,712.25,999.98,702
"308","Unincorporated - Del Rey",0,0,0,0,0,0,3,943.4,721.49,318
"309","Unincorporated - East Covina",0,0,0,0,0,0,4,1215.81,571.4,329
"310","Unincorporated - East Lancaster",0,0,0,0,0,0,2,1754.39,596.82,114
"311","Unincorporated - East Pasadena",0,0,0,0,0,0,13,203.03,199.89,6403
"312","Unincorporated - El Monte",0,0,0,0,0,0,2,1379.31,1661.95,145
"313","Unincorporated - Hi Vista",0,0,0,0,0,0,7,637.52,754.97,1098
"314","Unincorporated - Lake Hughes",0,0,0,0,0,0,8,1197.6,1260.33,668
"315","Unincorporated - Palos Verdes Peninsula",0,0,0,0,0,0,5,805.15,1250.52,621
"316","Unincorporated - Pellissier Village",0,0,0,0,0,0,4,646.2,648.98,619
"317","Unincorporated - Placerita Canyon",0,0,0,0,0,0,2,434.78,567.79,460
"318","Unincorporated - Roosevelt",0,0,0,0,0,0,2,214.82,292.26,931
"319","Unincorporated - Rosewood/East Gardena",0,0,0,0,0,0,12,1005.87,839.2,1193
"320","Unincorporated - San Pasqual",0,0,0,0,0,0,1,49.14,36.95,2035
"321","Unincorporated - Saugus/Canyon Country",0,0,0,0,0,0,2,561.8,338.41,356
"322","Unincorporated - South Antelope Valley",0,0,0,0,0,0,1,219.78,117.68,455
"323","Unincorporated - Southeast Antelope Valley",0,0,0,0,0,0,1,128.04,310.62,781
"324","Unincorporated - Westfield/Academy Hills",0,0,0,0,0,0,13,1000,975.07,1300
"325","Unincorporated - Westhills",0,0,0,0,0,0,10,1191.9,1732.33,839
