"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","persons_tested_final","testing_rate_final","adj_testing_rate_final","population"
"31","City of Hawthorne",240,240,269.44,7,7.88,9.36,739,832.33,826.65,88787
"32","City of Hermosa Beach",25,25,117,2,10.17,12.66,167,849.01,789.82,19670
"33","City of Huntington Park",196,196,342.06,5,8.41,10.15,284,477.44,495.86,59484
"34","City of Industry",7,7,1644.72,0,0,0,2,457.67,447.17,437
"35","City of Inglewood",413,413,362.24,39,34.34,38.64,1028,905.07,903.08,113582
"36","City of Irwindale",2,2,115.37,0,0,0,5,342.7,324.89,1459
"37","City of La Canada Flintridge",41,41,243.4,5,24.16,12.57,221,1067.99,1384.71,20693
"38","City of La Habra Heights",4,4,48.25,0,0,0,6,109.99,115.99,5455
"39","City of La Mirada",75,75,127.63,5,10.08,6.2,262,528.24,526.17,49599
"40","City of La Puente",50,50,118,0,0,0,213,523.38,529.85,40697
"41","City of La Verne",18,18,49.56,1,3,1.4,207,621.96,603.72,33282
"42","City of Lakewood",99,99,122.64,3,3.73,2.94,550,684.4,675.47,80362
"43","City of Lancaster",394,394,251.63,7,4.33,4.7,1053,651.73,674.05,161570
"44","City of Lawndale",75,75,224.45,2,5.95,7.67,250,743.74,739.62,33614
"45","City of Lomita",40,40,179.56,4,19.3,13.62,163,786.34,749.93,20729
"46","City of Lynwood",255,255,441.18,23,31.92,51.72,342,474.69,531.25,72047
"47","City of Malibu",31,31,205.93,1,7.72,4.47,707,5454.83,4556.13,12961
"48","City of Manhattan Beach",68,68,164.84,2,5.56,5.93,372,1033.36,992.64,35999
"49","City of Maywood",83,83,322.65,2,7.13,7.28,117,417.13,427.43,28049
"50","City of Monrovia",77,77,184.08,6,15.46,17.24,218,561.86,547.45,38800
"51","City of Montebello",204,204,286.11,8,12.43,8.85,423,657.09,636.51,64375
"52","City of Monterey Park",98,98,145.69,3,4.82,2.45,276,443.29,431.53,62262
"53","City of Norwalk",236,236,213.37,11,10.22,10.56,617,573.3,567.11,107622
"54","City of Palmdale",491,491,313.54,10,6.29,6.59,1311,824.69,864.96,158968
"55","City of Palos Verdes Estates",40,40,229.72,0,0,0,149,1101.91,1204.6,13522
"56","City of Paramount",171,171,316.75,7,12.49,14.68,354,631.88,667.96,56023
"57","City of Pico Rivera",249,249,365.34,14,21.78,19.82,429,667.35,654.79,64284
"58","City of Pomona",239,239,157.05,9,5.77,8.09,749,480.34,493.32,155931
"59","City of Rancho Palos Verdes",75,75,137.61,10,23.39,11.02,390,912.34,1057.11,42747
"60","City of Redondo Beach",117,117,163.92,7,10.19,10.7,624,908.34,883.94,68697
"61","City of Rolling Hills",2,2,60.51,0,0,0,17,876.29,1898.24,1940
"62","City of Rolling Hills Estates",13,13,261.29,0,0,0,88,1084.68,1079.74,8113
"63","City of Rosemead",50,50,83.43,2,3.61,2.71,191,345.08,332.19,55350
"64","City of San Dimas",31,31,85.17,1,2.9,1.82,260,753.27,720.65,34516
"65","City of San Fernando",125,125,537.46,3,12.19,14.6,216,877.62,913.65,24612
"66","City of San Gabriel",44,44,85.91,1,2.44,1.5,174,424.87,407.77,40954
"67","City of San Marino",12,12,62.21,0,0,0,84,632.67,664.76,13277
"68","City of Santa Clarita",463,463,215.74,12,5.44,6.03,1883,854.26,871.65,220424
"69","City of Santa Fe Springs",31,31,170.23,0,0,0,108,588.11,608.56,18364
"70","City of Santa Monica",206,206,184.31,11,11.9,9.02,1423,1539.28,1350.77,92446
"71","City of Sierra Madre",5,5,35.89,0,0,0,60,546,519.66,10989
"72","City of Signal Hill",9,9,75.92,0,0,0,93,788.34,776.8,11797
"73","City of South El Monte",38,38,187.45,1,4.79,5.59,78,373.47,372.23,20885
"74","City of South Gate",304,304,310.1,12,12.23,14.77,532,542,558.46,98155
"75","City of South Pasadena",99,99,319.93,13,49.9,35.9,248,951.91,918.98,26053
"76","City of Temple City",65,65,132.82,8,21.94,13.45,194,532.16,505.89,36455
"77","City of Torrance",311,311,180.17,38,25.46,19.1,1219,816.65,765.01,149268
"78","City of Vernon",1,1,454.73,0,0,0,3,1435.41,2157.23,209
"79","City of Walnut",25,25,64.05,0,0,0,152,497.84,469.11,30532
"80","City of West Covina",164,164,141.79,5,4.62,4.59,669,618.1,595.51,108235
"81","City of West Hollywood",144,144,311.97,4,10.83,7.33,704,1905.23,1501.36,36951
"82","City of Westlake Village",6,6,45.01,0,0,0,5,59.81,46.13,8360
"83","City of Whittier",163,163,182.59,7,8.01,7.96,501,573.02,565.55,87432
"84","Los Angeles - Adams-Normandie",32,32,390.53,2,24.38,27.72,58,707.14,715.61,8202
"85","Los Angeles - Alsace",33,33,257.51,0,0,0,103,827.64,828.54,12445
"86","Los Angeles - Angelino Heights",10,10,330.31,0,0,0,22,879.3,802.11,2502
"87","Los Angeles - Arleta",147,147,420.71,1,2.91,2.2,315,916.5,902.72,34370
"88","Los Angeles - Atwater Village",34,34,223.72,2,13.64,10.93,133,906.86,891.02,14666
"89","Los Angeles - Baldwin Hills",85,85,258.39,3,9.64,8.09,322,1034.54,986.95,31125
"90","Los Angeles - Bel Air",31,31,323.62,1,11.86,5.64,197,2337.17,2553.09,8429
"91","Los Angeles - Beverly Crest",33,33,262.11,2,15.97,9.05,220,1756.49,1766.26,12525
"92","Los Angeles - Beverlywood",33,33,243.76,0,0,0,225,1708.04,1725.11,13173
"93","Los Angeles - Boyle Heights",286,286,336.8,8,9.21,11.04,566,651.44,679.76,86884
"94","Los Angeles - Brentwood",68,68,199.96,1,3.23,2.58,525,1696.01,1550.95,30955
"95","Los Angeles - Cadillac-Corning",21,21,328.99,0,0,0,62,870.66,879.14,7121
"96","Los Angeles - Canoga Park",365,365,568.25,17,26.04,34.17,617,945.03,923.29,65289
"97","Los Angeles - Carthay",67,67,465.23,6,41.77,17.14,430,2993.8,3353.99,14363
"98","Los Angeles - Central",174,174,481.28,6,15.39,22.12,251,643.72,724.74,38992
"99","Los Angeles - Century City",30,30,224.59,0,0,0,217,1696.37,1657.74,12792
"100","Los Angeles - Century Palms/Cove",120,120,381.97,1,2.96,2.71,204,604.16,674.23,33766
"101","Los Angeles - Chatsworth",116,116,284.49,15,40.47,25.36,404,1090.09,993.79,37061
"102","Los Angeles - Cheviot Hills",18,18,208.05,1,10.9,5.07,144,1570.17,1649.72,9171
"103","Los Angeles - Chinatown",10,10,110.19,1,12.47,10.28,61,760.5,747.63,8021
"104","Los Angeles - Cloverdale/Cochran",44,44,298.23,1,6.87,8.57,133,913.9,893.31,14553
"105","Los Angeles - Country Club Park",76,76,418.45,16,105.59,81.38,129,851.32,781.13,15153
"106","Los Angeles - Crenshaw District",55,55,397.74,2,14.46,8.88,194,1402.85,1388.99,13829
"107","Los Angeles - Crestview",70,70,550.55,8,70.37,62.78,247,2172.77,2074.4,11368
"108","Los Angeles - Del Rey",58,58,170.75,2,6.68,4.8,315,1052.24,967.59,29936
"109","Los Angeles - Downtown",84,84,272.87,3,10.91,4.23,439,1595.96,1415.8,27507
"110","Los Angeles - Eagle Rock",108,108,248.71,7,17.68,12.33,349,881.56,832.32,39589
"111","Los Angeles - East Hollywood",162,162,500.02,29,99.02,84.12,242,826.31,772.96,29287
"112","Los Angeles - Echo Park",27,27,181.31,0,0,0,122,855.78,759.18,14256
"113","Los Angeles - El Sereno",115,115,264.2,14,33.49,28.34,306,731.92,721.18,41808
"114","Los Angeles - Elysian Park",11,11,156.04,0,0,0,44,770.31,664.92,5712
"115","Los Angeles - Elysian Valley",26,26,241.71,0,0,0,78,766.89,717.71,10171
"116","Los Angeles - Encino",97,97,196.37,7,15.5,7.96,674,1492.07,1433.43,45172
"117","Los Angeles - Exposition",5,5,145.83,0,0,0,20,601.32,553.52,3326
"118","Los Angeles - Exposition Park",157,157,372.89,9,20.04,25.7,306,681.26,765.04,44917
"119","Los Angeles - Faircrest Heights",4,4,99.81,0,0,0,37,1027.78,976.02,3600
"120","Los Angeles - Figueroa Park Square",23,23,275.35,0,0,0,81,928.79,964.72,8721
"121","Los Angeles - Florence-Firestone",177,177,410,7,14.75,22.96,300,632.31,657.38,47445
"122","Los Angeles - Glassell Park",131,131,387.85,4,12.66,12.1,284,898.62,847.5,31604
"123","Los Angeles - Gramercy Place",40,40,386.77,2,18.58,11.85,138,1282.05,1154.08,10764
"124","Los Angeles - Granada Hills",149,149,223.18,9,15.47,12.05,620,1065.46,1015.81,58191
"125","Los Angeles - Green Meadows",87,87,423.85,2,9.3,14.16,144,669.61,710.46,21505
"126","Los Angeles - Hancock Park",70,70,364.45,2,11.74,11.82,256,1502.44,1472.8,17039
"127","Los Angeles - Harbor City",57,57,180.59,4,13.76,10.74,246,846.23,822.5,29070
"128","Los Angeles - Harbor Gateway",81,81,186.78,3,6.88,7.32,300,688.07,695.39,43600
"129","Los Angeles - Harbor Pines",2,2,87.21,0,0,0,19,788.71,764.11,2409
"130","Los Angeles - Harvard Heights",73,73,421.94,9,49.9,65.63,130,720.82,717.81,18035
"131","Los Angeles - Harvard Park",170,170,452.44,1,2.64,2.15,328,864.64,874.19,37935
"132","Los Angeles - Highland Park",108,108,217.21,1,2.07,1.78,304,628.22,617.16,48391
"133","Los Angeles - Historic Filipinotown",79,79,524.6,5,36.05,30.17,116,836.34,786.67,13870
"134","Los Angeles - Hollywood",212,212,258.67,5,7.33,7.72,824,1207.26,1040.37,68254
"135","Los Angeles - Hollywood Hills",68,68,214.34,4,13.59,13.28,346,1175.51,1077.67,29434
"136","Los Angeles - Hyde Park",89,89,293.5,2,7.01,4.46,306,1072.14,1056.27,28541
"137","Los Angeles - Jefferson Park",23,23,271.82,1,12.39,10.24,74,916.64,938,8073
"138","Los Angeles - Koreatown",170,170,307.21,14,27.08,28.08,309,597.76,562.69,51693
"139","Los Angeles - Lafayette Square",14,14,302.7,0,0,0,47,1030.93,1037.2,4559
"140","Los Angeles - Lake Balboa",128,128,301.01,2,4.74,5.5,384,909.82,891.28,42206
"141","Los Angeles - Lakeview Terrace",68,68,503.89,2,15.23,12.95,176,1340.14,1339.56,13133
"142","Los Angeles - Leimert Park",39,39,240.77,2,13.13,8.05,174,1142.11,1015.94,15235
"143","Los Angeles - Lincoln Heights",150,150,434.78,9,27.61,24.95,227,696.38,691.23,32597
"144","Los Angeles - Little Armenia",152,152,1562.38,27,336.45,276.25,97,1208.72,1047.83,8025
"145","Los Angeles - Little Bangladesh",89,89,313.45,2,7.06,7.19,239,843.24,821.91,28343
"146","Los Angeles - Little Tokyo",8,8,182.71,0,0,0,48,1532.08,1661.49,3133
"147","Los Angeles - Longwood",16,16,355.83,0,0,0,51,1184.94,1138.85,4304
"148","Los Angeles - Los Feliz",36,36,156.35,0,0,0,229,1059.79,982.47,21608
"149","Los Angeles - Manchester Square",16,16,170.73,0,0,0,120,1405.81,1385.51,8536
"150","Los Angeles - Mandeville Canyon",1,1,31.81,0,0,0,64,2048.66,2922.79,3124
"151","Los Angeles - Mar Vista",62,62,131.69,4,9.42,6.95,478,1125.47,1064.41,42471
"152","Los Angeles - Marina Peninsula",9,9,143.64,0,0,0,75,1720.18,1709.82,4360
"153","Los Angeles - Melrose",405,405,493.2,29,37.32,38.4,938,1207.27,1134.84,77696
"154","Los Angeles - Mid-city",43,43,256.14,2,13.31,11.5,195,1297.41,1172.83,15030
"155","Los Angeles - Miracle Mile",37,37,177.93,4,22.24,20.24,270,1501.25,1301.15,17985
"156","Los Angeles - Mission Hills",90,90,360.79,4,16.58,10.95,224,928.54,898.2,24124
"157","Los Angeles - Mt. Washington",59,59,227.55,3,12.42,11.15,170,704.08,670.9,24145
"158","Los Angeles - North Hills",232,232,368.95,6,9.74,11.07,512,831.51,833.21,61575
"159","Los Angeles - North Hollywood",463,463,289.65,15,9.91,11.5,1261,832.78,779.69,151421
"160","Los Angeles - Northridge",208,208,272.96,20,28.65,24.76,714,1022.97,971.75,69797
"161","Los Angeles - Pacific Palisades",39,39,177.28,3,14.09,6.45,329,1545.25,1509.45,21291
"162","Los Angeles - Pacoima",397,397,531.84,8,10.39,14.72,573,744.36,764.74,76979
"163","Los Angeles - Palisades Highlands",3,3,74.78,0,0,0,56,1456.06,1452.06,3846
"164","Los Angeles - Palms",155,155,408.7,18,41.02,52.3,535,1219.32,1187.78,43877
"165","Los Angeles - Panorama City",403,403,545.99,16,21.26,29.29,637,846.51,858.69,75250
"166","Los Angeles - Park La Brea",13,13,90.44,1,7.36,8.07,129,949.93,943.64,13580
"167","Los Angeles - Pico-Union",336,336,875.44,34,81.26,100.32,310,740.88,753.9,41842
"168","Los Angeles - Playa Del Rey",1,1,32.61,0,0,0,34,1063.83,803.73,3196
"169","Los Angeles - Playa Vista",20,20,186.68,0,0,0,158,1443.32,1424.28,10947
"170","Los Angeles - Porter Ranch",64,64,181.46,3,8.43,4.98,366,1028.44,988.95,35588
"171","Los Angeles - Rancho Park",12,12,187.05,0,0,0,104,1585.37,1557.89,6560
"172","Los Angeles - Regent Square",3,3,102.52,0,0,0,25,899.28,800.42,2780
"173","Los Angeles - Reseda",298,298,367.61,11,14.36,14.6,851,1110.72,1056.6,76617
"174","Los Angeles - Reseda Ranch",23,23,426.21,0,0,0,65,1402.07,1329.4,4636
"175","Los Angeles - Reynier Village",9,9,207.47,0,0,0,45,1064.33,1000.6,4228
"176","Los Angeles - San Pedro",634,634,801.83,12,15.38,13.94,753,964.91,914,78038
"177","Los Angeles - Shadow Hills",9,9,230.77,0,0,0,36,810.45,760.97,4442
"178","Los Angeles - Sherman Oaks",163,163,179.86,6,6.88,5.45,1215,1392.49,1319.34,87254
"179","Los Angeles - Silverlake",132,132,285.95,9,20.42,18.22,519,1177.32,1096.32,44083
"180","Los Angeles - South Carthay",25,25,257.94,0,0,0,175,1651.72,1572.07,10595
"181","Los Angeles - South Park",154,154,435.96,5,13.17,21.61,227,597.98,698.18,37961
"182","Los Angeles - St Elmo Village",24,24,621.42,1,21.82,22.43,48,1047.12,1041.29,4584
"183","Los Angeles - Studio City",57,57,235.89,2,8.91,8.24,299,1332.44,1221.46,22440
"184","Los Angeles - Sun Valley",184,184,335.63,4,7.62,7.9,396,754.53,737.37,52483
"185","Los Angeles - Sunland",108,108,418.15,12,58.8,40.96,204,999.61,901.17,20408
"186","Los Angeles - Sycamore Square",1,1,78.94,0,0,0,6,927.36,747.82,647
"187","Los Angeles - Sylmar",466,466,577.33,17,20.63,26.74,864,1048.57,1062.01,82398
"188","Los Angeles - Tarzana",87,87,255.86,1,3.24,1.75,393,1272.83,1187.75,30876
"189","Los Angeles - Temple-Beaudry",196,196,477.93,9,22.8,26.64,330,835.82,782.91,39482
"190","Los Angeles - Thai Town",19,19,155.93,0,0,0,84,856.36,773.74,9809
"191","Los Angeles - Toluca Lake",13,13,129.46,0,0,0,105,1206.34,1142.62,8704
"192","Los Angeles - Toluca Terrace",2,2,199.64,0,0,0,10,765.7,827.91,1306
"193","Los Angeles - Toluca Woods",3,3,118.29,0,0,0,26,1399.35,1123.35,1858
"194","Los Angeles - Tujunga",88,88,282.35,7,25.17,20.8,252,906.15,836.77,27810
"195","Los Angeles - University Hills",7,7,184.92,1,29.16,19.36,26,758.24,813.31,3429
"196","Los Angeles - University Park",103,103,521.88,1,3.64,3.34,167,608.25,779.25,27456
"197","Los Angeles - Valley Glen",97,97,300.9,2,6.66,6.42,280,932.84,882.32,30016
"198","Los Angeles - Valley Village",152,152,556.51,6,24.27,20.63,308,1245.95,1166.26,24720
"199","Los Angeles - Van Nuys",429,429,472.05,19,20.39,27.8,766,821.94,826.78,93194
"200","Los Angeles - Venice",52,52,158.77,1,2.95,3.8,430,1269,1267.98,33885
"201","Los Angeles - Vermont Knolls",73,73,429.18,1,5.81,6.89,185,1075.58,1111.4,17200
"202","Los Angeles - Vermont Square",61,61,774.25,1,13.06,14.58,87,1136.22,1112.09,7657
"203","Los Angeles - Vermont Vista",166,166,431.4,4,9.71,15.64,294,713.83,795.05,41186
"204","Los Angeles - Vernon Central",288,288,574.24,6,11.54,19.41,329,632.72,718.56,51998
"205","Los Angeles - Victoria Park",40,40,455.93,1,11.91,7.52,93,1107.27,1097.59,8399
"206","Los Angeles - View Heights",7,7,174.48,2,54.14,41.91,60,1624.26,1419.56,3694
"207","Los Angeles - Watts",135,135,370.55,5,11.72,20.57,239,560.06,632.33,42674
"208","Los Angeles - Wellington Square",16,16,299.24,0,0,0,55,1119.02,1077.95,4915
"209","Los Angeles - West Adams",142,142,505.46,12,43.43,45.95,305,1103.87,1083.01,27630
"210","Los Angeles - West Hills",74,74,160.87,3,7.4,3.82,360,887.9,875.12,40545
"211","Los Angeles - West Los Angeles",61,61,147.09,2,5.31,4.45,468,1243.49,1140.55,37636
"212","Los Angeles - West Vernon",255,255,484.39,11,20.51,24.96,457,851.91,888.75,53644
"213","Los Angeles - Westchester",76,76,138.7,6,11.63,9.18,532,1030.95,967.73,51603
"214","Los Angeles - Westlake",338,338,608.78,50,84.24,97.02,401,675.6,683.34,59355
"215","Los Angeles - Westwood",56,56,114.44,5,9.24,8.99,656,1212.37,1438.4,54109
"216","Los Angeles - Wholesale District",214,214,522.56,4,11.07,16.86,339,938.3,833.34,36129
"217","Los Angeles - Wilmington",122,122,225.83,1,1.77,2.23,397,702.82,755.24,56487
"218","Los Angeles - Wilshire Center",145,145,269.86,13,25.91,27.28,344,685.67,634.17,50170
"219","Los Angeles - Winnetka",199,199,357.08,1,1.93,2.77,516,996.41,950.11,51786
"220","Los Angeles - Woodland Hills",128,128,163.24,10,14.69,9.98,854,1254.87,1109.34,68055
"221","Unincorporated - Acton",8,8,91.25,1,12.55,6.38,65,815.46,797.98,7971
