date,name,population,doses_distributed,doses_administered,dist_per_100k,admin_per_100k,administered_dose1,administered_dose1_per_100k,administered_dose2,administered_dose2_per_100k,pct_doses_administered,pct_receiving_first_dose,pct_receiving_second_dose
2021-02-06,North Carolina,10488084.0,1718275.0,1171240,16383.0,11167.0,939554.0,8958.0,230372.0,2197.0,0.6816371069822933,0.08958299723762701,0.02196511774695931
2021-02-06,North Dakota,762062.0,131625.0,120742,17272.0,15844.0,81935.0,10752.0,35123.0,4609.0,0.9173181386514719,0.10751749857623133,0.04608942579475161
2021-02-06,Nebraska,1934408.0,346375.0,218405,17906.0,11291.0,157139.0,8123.0,59985.0,3101.0,0.630544929628293,0.0812336384051348,0.031009487140251694
2021-02-06,New Hampshire,1359711.0,257700.0,161178,18953.0,11854.0,116523.0,8570.0,43888.0,3228.0,0.6254481955762514,0.08569688705908829,0.03227744719282259
2021-02-06,New Jersey,8882190.0,1480825.0,1041289,16672.0,11723.0,791011.0,8906.0,199040.0,2241.0,0.7031816723785728,0.08905585221662675,0.022408887898142237
2021-02-06,New Mexico,2096829.0,364875.0,322611,17401.0,15386.0,240516.0,11470.0,78774.0,3757.0,0.8841685508735868,0.11470463256660414,0.03756815648772504
2021-02-06,Nevada,3080156.0,427800.0,322252,13889.0,10462.0,264060.0,8573.0,56456.0,1833.0,0.7532772323515662,0.08572942409410432,0.018328941780870838
2021-02-06,New York,19453561.0,3378300.0,2225316,17366.0,11439.0,1661253.0,8540.0,468747.0,2410.0,0.6587088180445786,0.08539583061425103,0.024095691272153205
2021-02-06,Ohio,11689100.0,1901750.0,1242487,16269.0,10629.0,975620.0,8346.0,265445.0,2271.0,0.6533387669252004,0.08346408192247479,0.022708762864549023
2021-02-06,Oklahoma,3956971.0,734625.0,541252,18565.0,13678.0,406359.0,10269.0,131556.0,3325.0,0.7367731835970733,0.10269445997961572,0.033246642444435405
2021-02-06,Oregon,4217737.0,734950.0,509875,17425.0,12089.0,389513.0,9235.0,118378.0,2807.0,0.6937546771889244,0.09235118263656553,0.028066709707124934
2021-02-06,Pennsylvania,12801989.0,2292500.0,1338491,17907.0,10455.0,1036395.0,8096.0,298741.0,2334.0,0.5838564885496184,0.08095577960580969,0.0233355145048164
2021-02-06,Puerto Rico,3193694.0,624025.0,299694,19539.0,9384.0,229133.0,7175.0,69224.0,2168.0,0.4802596049837747,0.07174544586926612,0.0216752137180331
2021-02-06,Rhode Island,1059361.0,192300.0,111830,18152.0,10556.0,81085.0,7654.0,30711.0,2899.0,0.5815392615704629,0.07654142450024118,0.02899011762751319
2021-02-06,Republic of Palau,17907.0,6000.0,3360,33506.0,18764.0,3109.0,17362.0,251.0,1402.0,0.56,0.17361925503992853,0.01401686491316245
2021-02-06,South Carolina,5148714.0,684700.0,542879,13298.0,10544.0,435079.0,8450.0,103432.0,2009.0,0.7928713305097123,0.08450246022599041,0.02008889986897699
2021-02-06,South Dakota,884659.0,161150.0,127592,18216.0,14423.0,88882.0,10047.0,38626.0,4366.0,0.7917592305305616,0.10047035072270785,0.04366202118556416
2021-02-06,Tennessee,6829174.0,1156975.0,752298,16942.0,11016.0,521621.0,7638.0,228198.0,3342.0,0.6502283973292422,0.07638127246428338,0.03341516851086237
2021-02-06,Texas,28995881.0,4402275.0,3107936,15182.0,10719.0,2371311.0,8178.0,734386.0,2533.0,0.7059840650572715,0.08178096054401658,0.025327252515624548
2021-02-06,Utah,3205958.0,493525.0,400285,15394.0,12486.0,284458.0,8873.0,88190.0,2751.0,0.8110734005369535,0.08872792469520811,0.02750815824786226
2021-02-06,Virginia,8535519.0,1387775.0,1052577,16259.0,12332.0,842587.0,9872.0,180751.0,2118.0,0.7584637279097837,0.09871537981463108,0.02117633385855037
2021-02-06,Virgin Islands,104680.0,20625.0,9466,19703.0,9043.0,6961.0,6650.0,2505.0,2393.0,0.45895757575757573,0.0664978983568972,0.023930072602216277
2021-02-06,Vermont,623989.0,116075.0,82992,18602.0,13300.0,58637.0,9397.0,24212.0,3880.0,0.714986000430756,0.09397120782577897,0.03880196606029914
2021-02-06,Washington,7614893.0,1208600.0,867773,15872.0,11396.0,684484.0,8989.0,170990.0,2245.0,0.7179985106735065,0.08988754011382695,0.022454681897697053
2021-02-06,Wisconsin,5822434.0,926300.0,638241,15909.0,10962.0,521331.0,8954.0,110306.0,1894.0,0.6890219151462809,0.08953832709825478,0.01894499791667883
2021-02-06,West Virginia,1792147.0,357000.0,314870,19920.0,17569.0,214301.0,11958.0,100159.0,5589.0,0.8819887955182073,0.1195778024905323,0.0558877145680572
2021-02-06,Wyoming,578759.0,101650.0,71858,17563.0,12416.0,56076.0,9689.0,14835.0,2563.0,0.7069158878504673,0.09689006996003519,0.025632430769975068
2021-01-25,Alaska,731545.0,155700.0,97031,21284.0,13264.0,80226.0,10967.0,16673.0,2279.0,0.6231920359666024,0.10966652769139287,0.022791489245364262
2021-01-25,Alabama,4903185.0,521225.0,250612,10630.0,5111.0,220464.0,4496.0,29978.0,611.0,0.48081346827185956,0.04496342683378253,0.006113985093362783
2021-01-25,Arkansas,3017804.0,368650.0,221095,12216.0,7326.0,185546.0,6148.0,33159.0,1099.0,0.599742302997423,0.06148378092149125,0.010987791122286272
2021-01-25,American Samoa,55689.0,18450.0,8046,33130.0,14448.0,7096.0,12742.0,948.0,1702.0,0.43609756097560975,0.12742193251809156,0.017023110488606368
2021-01-25,Arizona,7278717.0,829500.0,413662,11396.0,5683.0,350648.0,4817.0,62711.0,862.0,0.49868836648583487,0.04817442414645328,0.008615666744565011
2021-01-25,California,39512223.0,4906525.0,2330633,12418.0,5899.0,1954048.0,4945.0,371482.0,940.0,0.4750068531190608,0.049454266341835536,0.009401698304851134
2021-01-25,Colorado,5758736.0,692700.0,447880,12029.0,7777.0,364889.0,6336.0,80467.0,1397.0,0.6465713873249603,0.06336268931237689,0.01397303158193048
2021-01-25,Connecticut,3565287.0,492850.0,331264,13824.0,9291.0,282674.0,7929.0,42421.0,1190.0,0.6721395962260323,0.07928506176361118,0.011898340862881445
2021-01-25,District of Columbia,705749.0,91025.0,64194,12898.0,9096.0,50902.0,7212.0,13236.0,1875.0,0.7052348255973634,0.07212479224200105,0.01875454304575706
2021-01-25,Delaware,973764.0,116325.0,66914,11946.0,6872.0,55131.0,5662.0,11647.0,1196.0,0.5752331828927574,0.05661638754359372,0.011960803644414868
2021-01-25,Florida,21477737.0,2908275.0,1544794,13541.0,7193.0,1384407.0,6446.0,156298.0,728.0,0.5311719146229295,0.06445776852561329,0.0072772098848216645
2021-01-25,Federated States of Micronesia,103643.0,19400.0,2758,18718.0,2661.0,2755.0,2658.0,3.0,3.0,0.14216494845360825,0.02658163117624924,2.8945514892467413e-05
2021-01-25,Georgia,10617423.0,1235775.0,604067,11639.0,5689.0,534161.0,5031.0,59965.0,565.0,0.4888163298335053,0.05030985390711098,0.005647792312692072
2021-01-25,Guam,165768.0,34300.0,3791,20692.0,2287.0,3785.0,2283.0,0.0,0.0,0.11052478134110787,0.022833116162347376,0.0
2021-01-25,Hawaii,1415872.0,191575.0,92092,13531.0,6504.0,74296.0,5247.0,17795.0,1257.0,0.48070990473704817,0.05247366993626543,0.012568226506350857
2021-01-25,Iowa,3155070.0,361475.0,196203,11457.0,6219.0,161445.0,5117.0,32149.0,1019.0,0.5427844249256518,0.05117002158430716,0.010189631291857232
2021-01-25,Idaho,1787065.0,181100.0,91271,10134.0,5107.0,76199.0,4264.0,14419.0,807.0,0.5039812258420762,0.04263918771840979,0.008068536958644481
2021-01-25,Illinois,12671821.0,1417250.0,723203,11184.0,5707.0,578406.0,4565.0,137465.0,1085.0,0.5102861174810372,0.045645057644043426,0.010848085685553796
2021-01-25,Indiana,6732219.0,841725.0,491856,12503.0,7306.0,408181.0,6063.0,83554.0,1241.0,0.5843428673260269,0.06063097472022226,0.012411063870619776
2021-01-25,Kansas,2913314.0,348175.0,154719,11951.0,5311.0,129861.0,4458.0,23635.0,811.0,0.44437136497450996,0.04457500976551103,0.008112754066331333
2021-01-25,Kentucky,4467673.0,471000.0,307462,10542.0,6882.0,275610.0,6169.0,30010.0,672.0,0.6527855626326964,0.061689832716047034,0.006717143354045831
2021-01-25,Louisiana,4648794.0,543700.0,341447,11696.0,7345.0,297684.0,6403.0,43151.0,928.0,0.628006253448593,0.06403467221821402,0.009282192327730589
2021-01-25,Massachusetts,6892503.0,859175.0,433615,12465.0,6291.0,368358.0,5344.0,64648.0,938.0,0.5046876363953793,0.05344328468192179,0.00937946635641653
2021-01-25,Maryland,6045680.0,742175.0,350835,12276.0,5803.0,311148.0,5147.0,39259.0,649.0,0.47271196146461414,0.0514661708856572,0.006493727752709373
2021-01-25,Maine,1344212.0,178450.0,104069,13275.0,7742.0,82837.0,6162.0,19873.0,1478.0,0.5831829644158028,0.0616249520164974,0.014784126313408898
2021-01-25,Marshall Islands,58413.0,13600.0,3098,23282.0,5304.0,3065.0,5247.0,3.0,5.0,0.2277941176470588,0.052471196480235564,5.1358430486364334e-05
2021-01-25,Michigan,9986857.0,1095675.0,727437,10971.0,7284.0,599665.0,6005.0,116840.0,1170.0,0.6639167636388528,0.060045417692473214,0.011699376490521492
2021-01-25,Minnesota,5639632.0,680700.0,346864,12070.0,6150.0,273973.0,4858.0,72266.0,1281.0,0.5095695607462906,0.04857994280477875,0.012813956655327865
2021-01-25,Missouri,6137428.0,661400.0,335695,10777.0,5470.0,258298.0,4209.0,75823.0,1235.0,0.5075521620804354,0.04208570756349402,0.012354197882239923
2021-01-25,Northern Mariana Islands,56882.0,18650.0,8495,32787.0,14934.0,5474.0,9623.0,3017.0,5304.0,0.4554959785522788,0.09623430962343096,0.053039625892197885
2021-01-25,Mississippi,2976149.0,358100.0,180960,12032.0,6080.0,164715.0,5535.0,16034.0,539.0,0.5053337056688076,0.05534501128807731,0.005387499080187181
2021-01-25,Montana,1068778.0,119500.0,77356,11181.0,7238.0,63224.0,5916.0,14111.0,1320.0,0.6473305439330544,0.05915540926179244,0.013202928952504637
2021-01-25,North Carolina,10488084.0,1246600.0,676037,11886.0,6446.0,589436.0,5620.0,86064.0,821.0,0.5423046686988608,0.056200541490705073,0.00820588393456803
2021-01-25,North Dakota,762062.0,86750.0,75242,11384.0,9873.0,57996.0,7610.0,15680.0,2058.0,0.8673429394812681,0.07610404402791374,0.02057575367883453
2021-01-25,Nebraska,1934408.0,238100.0,134033,12309.0,6929.0,110672.0,5721.0,22547.0,1166.0,0.5629273414531709,0.05721233576370652,0.011655762383116695
2021-01-25,New Hampshire,1359711.0,162950.0,94623,11984.0,6959.0,80674.0,5933.0,13907.0,1023.0,0.5806873274010432,0.059331725638757056,0.01022790872472165
2021-01-25,New Jersey,8882190.0,989900.0,563141,11145.0,6340.0,492061.0,5540.0,69374.0,781.0,0.5688867562380039,0.055398612279178895,0.007810461158790793
2021-01-25,New Mexico,2096829.0,257075.0,204670,12260.0,9761.0,166530.0,7942.0,35507.0,1693.0,0.7961489837596032,0.07941992408536891,0.016933665072354494
2021-01-25,Nevada,3080156.0,286950.0,159869,9316.0,5190.0,136670.0,4437.0,22279.0,723.0,0.5571319045129813,0.044371129254492304,0.007233075207879081
2021-01-25,New York,19453561.0,2395950.0,1418313,12316.0,7291.0,1215450.0,6248.0,183915.0,945.0,0.5919626870343705,0.062479563510248845,0.00945405316795213
2021-01-25,Ohio,11689100.0,1233075.0,685622,10549.0,5865.0,608379.0,5205.0,76949.0,658.0,0.5560261946759119,0.052046693073033855,0.006582970459658999
2021-01-25,Oklahoma,3956971.0,496350.0,326546,12544.0,8252.0,282679.0,7144.0,41634.0,1052.0,0.6578946308048756,0.07143822888770224,0.01052168438939785
2021-01-25,Oregon,4217737.0,492450.0,300676,11676.0,7129.0,257296.0,6100.0,42426.0,1006.0,0.6105716316377298,0.06100332951058826,0.010058948673186593
2021-01-25,Pennsylvania,12801989.0,1564125.0,776799,12218.0,6068.0,639526.0,4996.0,135939.0,1062.0,0.4966348597458643,0.04995520617928979,0.010618584346541775
2021-01-25,Puerto Rico,3193694.0,371550.0,187617,11634.0,5875.0,146984.0,4602.0,39384.0,1233.0,0.5049576100121115,0.046023194457577965,0.012331801356047261
2021-01-25,Rhode Island,1059361.0,149225.0,70419,14086.0,6647.0,56751.0,5357.0,13649.0,1288.0,0.4718981403920255,0.05357097344531279,0.012884182068246802
2021-01-25,Republic of Palau,17907.0,6000.0,3046,33506.0,17010.0,3044.0,16999.0,2.0,11.0,0.5076666666666667,0.16998938962416932,0.00011168816663874462
2021-01-25,South Carolina,5148714.0,453250.0,307348,8803.0,5969.0,258015.0,5011.0,47563.0,924.0,0.6780981798124656,0.0501125135325054,0.00923784075013683
2021-01-25,South Dakota,884659.0,106575.0,82512,12047.0,9327.0,63950.0,7229.0,18504.0,2092.0,0.7742153413089373,0.07228774024793734,0.020916533941326546
2021-01-25,Tennessee,6829174.0,838825.0,462646,12283.0,6775.0,361767.0,5297.0,99842.0,1462.0,0.5515405477900635,0.05297375641622252,0.014619923287940826
2021-01-25,Texas,28995881.0,3070825.0,1804006,10591.0,6222.0,1532381.0,5285.0,270118.0,932.0,0.5874662346437847,0.052848230409001884,0.009315736948982512
2021-01-25,Utah,3205958.0,341725.0,229007,10659.0,7143.0,195221.0,6089.0,25693.0,801.0,0.6701499743946155,0.0608931869974591,0.008014141170907417
2021-01-25,Virginia,8535519.0,1069725.0,482973,12533.0,5658.0,415684.0,4870.0,59852.0,701.0,0.4514926733506275,0.04870049495525697,0.007012110218488178
2021-01-25,Virgin Islands,104680.0,14500.0,3399,13852.0,3247.0,2984.0,2851.0,415.0,396.0,0.2344137931034483,0.02850592281238059,0.003964463125716469
2021-01-25,Vermont,623989.0,90000.0,53624,14423.0,8594.0,43356.0,6948.0,10195.0,1634.0,0.5958222222222223,0.06948199407361348,0.016338429042819666
2021-01-25,Washington,7614893.0,846625.0,488785,11118.0,6419.0,404326.0,5310.0,73738.0,968.0,0.577333530193415,0.05309674082091501,0.009683392793569128
2021-01-25,Wisconsin,5822434.0,610100.0,315876,10478.0,5425.0,266481.0,4577.0,47409.0,814.0,0.5177446320275365,0.04576797263824717,0.008142471000959392
