City/Comminity*,Number of Persons Vaccinated**,Percentage of People Vaccinated***
City of Sierra Madre,2321,25.1
City of Signal Hill,1521,16.8
City of South El Monte,1490,9.4
City of South Gate,6316,8.8
City of South Pasadena,4611,21.4
City of Temple City,5401,17.6
City of Torrance,22260,18.4
City of Vernon,46,20.7
City of Walnut,5589,21.1
City of West Covina,14446,16.8
City of West Hollywood,4314,12.6
City of Westlake Village,950,13.1
City of Whittier,9777,14.3
Los Angeles - Adams-Normandie,531,8.4
Los Angeles - Alsace,672,7.3
Los Angeles - Angeles National Forest,<5,NA
Los Angeles - Angelino Heights,186,9.2
Los Angeles - Arleta,3419,13
Los Angeles - Atwater Village,2029,16.2
Los Angeles - Baldwin Hills,2611,10.9
Los Angeles - Bel Air,2148,30.8
Los Angeles - Beverly Crest,2976,29.9
Los Angeles - Beverlywood,2268,23.2
Los Angeles - Boyle Heights,5872,9.4
Los Angeles - Brentwood,6509,25.2
Los Angeles - Brookside,109,23.9
Los Angeles - Cadillac-Corning,445,8.2
Los Angeles - Canoga Park,5429,11
Los Angeles - Carthay,2699,21.9
Los Angeles - Central,1546,5.7
Los Angeles - Century City,3234,31.2
Los Angeles - Century Palms/Cove,1339,5.7
Los Angeles - Chatsworth,6231,20
Los Angeles - Cheviot Hills,2401,33.7
Los Angeles - Chinatown,689,9.4
Los Angeles - Cloverdale/Cochran,953,8.5
Los Angeles - Country Club Park,1926,15.6
Los Angeles - Crenshaw District,1265,11.7
Los Angeles - Crestview,1624,18.5
Los Angeles - Del Rey,3408,14.2
Los Angeles - Downtown,4116,12.8
Los Angeles - Eagle Rock,5570,17.2
Los Angeles - East Hollywood,2426,10.2
Los Angeles - Echo Park,1259,10.5
Los Angeles - El Sereno,4292,13.3
Los Angeles - Elysian Park,804,16.9
Los Angeles - Elysian Valley,1053,13.1
Los Angeles - Encino,10133,27.8
Los Angeles - Exposition,266,10.3
Los Angeles - Exposition Park,2602,7.4
Los Angeles - Faircrest Heights,377,13.1
Los Angeles - Figueroa Park Square,523,8
Los Angeles - Florence-Firestone,1812,5.5
Los Angeles - Glassell Park,3816,15.4
