hood.name,mapla.region.slug,date,confirmed.cases,population,case.rate,days.since.case.cutoff,days.since.case.rate.cutoff
Central,south-la,2020-05-11,187,38992,0.004795855560114895,26,19
Century City,westside,2020-05-11,32,12792,0.0025015634771732333,,30
Century Palms/Cove,south-la,2020-05-11,129,33766,0.003820411064384292,20,16
Cerritos,southeast,2020-05-11,69,50654,0.0013621826509258893,12,
Charter Oak,san-gabriel-valley,2020-05-11,0,0,NaN,,
Chatsworth,san-fernando-valley,2020-05-11,122,37061,0.0032918701600064756,20,13
Cheviot Hills,westside,2020-05-11,18,9171,0.001962708537782139,,
Chinatown,central-la,2020-05-11,10,8021,0.0012467273407305822,,
Claremont,pomona-valley,2020-05-11,29,37186,7.798633894476416e-4,,
Cloverdale/Cochran,central-la,2020-05-11,45,14553,0.0030921459492888066,,16
Commerce,southeast,2020-05-11,19,13069,0.0014538220215777795,,
Compton,southeast,2020-05-11,287,99904,0.0028727578475336323,31,10
Country Club Park,central-la,2020-05-11,77,15153,0.005081502012802746,19,23
Covina,san-gabriel-valley,2020-05-11,145,65851,0.0022019407450152616,30,4
Covina (Charter Oak),san-gabriel-valley,2020-05-11,23,13144,0.00174984783931832,,
Crenshaw District,south-la,2020-05-11,58,13829,0.004194084894063201,6,22
Crestview,westside,2020-05-11,75,11368,0.006597466572836031,21,36
Cudahy,southeast,2020-05-11,98,24347,0.004025136567133528,18,19
Culver City,westside,2020-05-11,118,39865,0.002959989966135708,17,6
Del Aire,south-bay,2020-05-11,10,4393,0.0022763487366264513,,6
Del Rey,westside,2020-05-11,58,30254,0.001917101870826998,10,
Del Sur,antelope-valley,2020-05-11,2,2415,8.281573498964803e-4,,
Desert View Highlands,antelope-valley,2020-05-11,4,2493,0.001604492579221821,,
Diamond Bar,san-gabriel-valley,2020-05-11,44,57515,7.650178214378858e-4,,
Downey,southeast,2020-05-11,294,114263,0.00257301138601297,37,9
Downtown,central-la,2020-05-11,88,27507,0.003199185661831534,15,14
Duarte,san-gabriel-valley,2020-05-11,95,26444,0.003592497352896687,19,16
Eagle Rock,northeast-la,2020-05-11,122,39589,0.0030816640986132513,24,15
East Covina,san-gabriel-valley,2020-05-11,0,329,0,,
East Hollywood,central-la,2020-05-11,164,29287,0.005599754157134565,27,23
East La Mirada,san-gabriel-valley,2020-05-11,9,5292,0.0017006802721088435,,
East Lancaster,antelope-valley,2020-05-11,0,114,0,,
East Los Angeles,eastside,2020-05-11,480,125269,0.0038317540652515786,35,18
East Pasadena,verdugos,2020-05-11,0,6403,0,,
East Rancho Dominguez,southeast,2020-05-11,26,15308,0.00169845832244578,,
East Whittier,san-gabriel-valley,2020-05-11,5,5306,9.423294383716547e-4,,
Echo Park,central-la,2020-05-11,29,14256,0.0020342312008978674,,0
El Camino Village,south-bay,2020-05-11,14,8791,0.001592537822773291,,
El Monte,san-gabriel-valley,2020-05-11,240,117414,0.002044049261587204,23,0
El Segundo,south-bay,2020-05-11,30,16786,0.0017872036220660074,,
El Sereno,eastside,2020-05-11,124,41808,0.002965939533103712,23,14
Elizabeth Lake,antelope-valley,2020-05-11,1,1661,6.020469596628537e-4,,
Elysian Park,central-la,2020-05-11,11,5712,0.0019257703081232494,,
Elysian Valley,central-la,2020-05-11,29,10171,0.002851243732179727,,12
Encino,san-fernando-valley,2020-05-11,101,45172,0.002235898344106969,29,6
Exposition,south-la,2020-05-11,5,3326,0.001503307276007216,,
Exposition Park,south-la,2020-05-11,167,44917,0.003717968697820424,27,18
Faircrest Heights,central-la,2020-05-11,4,3600,0.0011111111111111111,,
Figueroa Park Square,south-la,2020-05-11,24,8721,0.0027519779841761265,,17
Florence-Firestone,south-la,2020-05-11,497,112150,0.004431564868479715,37,17
Franklin Canyon,westside,2020-05-11,0,0,NaN,,
Gardena,south-bay,2020-05-11,185,61310,0.003017452291632686,31,19
Glassell Park,northeast-la,2020-05-11,139,31604,0.004398177445892925,31,26
Glendale,verdugos,2020-05-11,738,206493,0.0035739710304949802,42,18
Glendora,san-gabriel-valley,2020-05-11,73,53424,0.0013664270739742438,6,
Gramercy Place,south-la,2020-05-11,41,10764,0.003808992939427722,,18
Granada Hills,san-fernando-valley,2020-05-11,172,58191,0.0029557835404100292,26,10
Green Meadows,south-la,2020-05-11,91,21505,0.00423157405254592,13,17
Hacienda Heights,san-gabriel-valley,2020-05-11,70,55926,0.0012516539713192433,10,
Hancock Park,central-la,2020-05-11,71,17039,0.004166911203709138,27,37
Harbor City,harbor,2020-05-11,57,29070,0.00196078431372549,9,
Harbor Gateway,harbor,2020-05-11,84,43600,0.001926605504587156,18,
Harbor Pines,harbor,2020-05-11,5,2409,0.0020755500207555004,,0
Harvard Heights,central-la,2020-05-11,84,18035,0.004657610202384253,14,19
Harvard Park,south-la,2020-05-11,178,37935,0.004692236720706472,21,18
Hawaiian Gardens,harbor,2020-05-11,12,14676,0.00081766148814390845,,
Hawthorne,south-bay,2020-05-11,260,91301,0.002847723464146066,33,10
Hermosa Beach,south-bay,2020-05-11,25,19670,0.0012709710218607015,,
Hi Vista,antelope-valley,2020-05-11,0,1098,0,,
Hidden Hills,santa-monica-mountains,2020-05-11,1,1890,5.291005291005291e-4,,
Highland Park,northeast-la,2020-05-11,110,48391,0.0022731499659027505,21,6
Historic Filipinotown,central-la,2020-05-11,83,13870,0.005984138428262437,16,22
Hollywood,central-la,2020-05-11,214,68254,0.0031353473789081958,41,21
Hollywood Hills,central-la,2020-05-11,71,29434,0.002412176394645648,22,10
Huntington Park,southeast,2020-05-11,206,59484,0.003463116132069128,24,16
Hyde Park,south-la,2020-05-11,95,28541,0.0033285449003188396,14,12
Industry,san-gabriel-valley,2020-05-11,10,437,0.02288329519450801,,16
Inglewood,south-bay,2020-05-11,420,113582,0.0036977690126956736,38,19
Irwindale,san-gabriel-valley,2020-05-11,3,1459,0.00205620287868403,,1
Jefferson Park,south-la,2020-05-11,24,8073,0.0029728725380899295,,14
Kagel/Lopez Canyons,angeles-forest,2020-05-11,2,1412,0.00141643059490085,,
Koreatown,central-la,2020-05-11,184,51693,0.0035594761379683904,30,19
La Canada Flintridge,verdugos,2020-05-11,43,20693,0.0020779973904218817,,2
La Crescenta-Montrose,verdugos,2020-05-11,18,19801,9.090449977273875e-4,,
La Habra Heights,san-gabriel-valley,2020-05-11,4,5455,7.332722273143905e-4,,
La Mirada,southeast,2020-05-11,76,49599,0.001532288957438658,14,
La Puente,san-gabriel-valley,2020-05-11,54,40697,0.0013268791311398874,3,
La Rambla,harbor,2020-05-11,6,2075,0.002891566265060241,,29
La Verne,pomona-valley,2020-05-11,24,35322,6.794632240529981e-4,,
Ladera Heights,westside,2020-05-11,17,7071,0.0024041861122896338,,25
Lafayette Square,central-la,2020-05-11,14,4559,0.0030708488703663083,,17
Lake Balboa,san-fernando-valley,2020-05-11,137,42206,0.0032459839833199073,21,10
Lake Hughes,northwest-county,2020-05-11,0,668,0,,
Lake Los Angeles,antelope-valley,2020-05-11,25,12994,0.0019239649068800986,,
Lake Manor,san-fernando-valley,2020-05-11,3,1643,0.0018259281801582471,,
Lakeview Terrace,san-fernando-valley,2020-05-11,72,13133,0.005482372649052007,12,21
Lakewood,harbor,2020-05-11,104,80362,0.0012941439984072074,21,
Lancaster,antelope-valley,2020-05-11,420,161570,0.0025994924800396115,36,9
Lawndale,south-bay,2020-05-11,81,33614,0.0024097102397810438,16,6
Leimert Park,south-la,2020-05-11,41,15235,0.0026911716442402363,,14
Lennox,south-bay,2020-05-11,70,22542,0.003105314523999645,8,10
Leona Valley,antelope-valley,2020-05-11,1,1751,5.711022272986865e-4,,
Lincoln Heights,eastside,2020-05-11,155,32597,0.004755038807252201,17,14
Little Armenia,central-la,2020-05-11,158,8025,0.01968847352024922,25,35
Little Bangladesh,central-la,2020-05-11,90,28343,0.00317538722083054,20,19
